Title,Year,Rating,Genre,Director,Language,Country,Type
The Secret Life of Walter Mitty,2013,PG,"Adventure, Comedy, Drama",Ben Stiller,English,USA,movie
In Secret,2013,R,"Crime, Drama, Thriller",Charlie Stratton,English,USA,movie
The Giver,2014,PG-13,"Drama, Sci-Fi",Phillip Noyce,English,USA,movie
42,2013,PG-13,"Biography, Drama, Sport",Brian Helgeland,English,USA,movie
House at the End of the Drive,2014,R,"Horror, Thriller",David Worth,English,USA,movie
The Hero of Color City,2014,G,"Animation, Family",Frank Gladstone,English,USA,movie
Syrup,2013,R,"Comedy, Drama, Romance",Aram Rappaport,English,USA,movie
Kid Cannabis,2014,Not Rated,"Crime, Drama",John Stockwell,English,USA,movie
The Incredible Burt Wonderstone,2013,PG-13,Comedy,Don Scardino,English,USA,movie
R.I.P.D.,2013,PG-13,"Action, Comedy, Crime",Robert Schwentke,English,USA,movie
Devil's Knot,2013,Not Rated,"Biography, Crime, Drama",Atom Egoyan,English,USA,movie
The Power of Few,2013,R,"Action, Crime, Drama",Leone Marucci,English,USA,movie
Dracula Untold,2014,PG-13,"Action, Drama, Fantasy",Gary Shore,English,USA,movie
Approaching Midnight,2013,PG,"Crime, Drama, Romance",Sam Logan Khaleghi,English,USA,movie
Epic,2013,PG,"Animation, Adventure, Family",Chris Wedge,English,USA,movie
Mr Hockey: The Gordie Howe Story,2013,PG,"Biography, Drama, Sport",Andy Mikita,English,USA,movie
N.Y.C. Underground,2013,R,"Action, Thriller",Jessy Terrero,English,USA,movie
Pizza with Bullets,2014,Not Rated,Comedy,Robert Rothbard,English,USA,movie
Reach Me,2014,PG-13,Drama,John Herzfeld,English,USA,movie
The Pardon,2013,PG-13,Drama,Tom Anton,English,USA,movie
Robosapien: Rebooted,2013,PG,"Adventure, Drama, Family",Sean McNamara,English,USA,movie
The Legend of Hercules,2014,PG-13,"Action, Adventure, Fantasy",Renny Harlin,English,USA,movie
Adult World,2013,R,Comedy,Scott Coffey,English,USA,movie
Game of Assassins,2013,R,"Action, Adventure, Horror",Matt Eskandari,English,USA,movie
House of Good and Evil,2013,Not Rated,"Horror, Thriller",David Mun,English,USA,movie
The Prince,2014,R,"Action, Thriller",Brian A Miller,English,USA,movie
Blended,2014,PG-13,"Comedy, Romance",Frank Coraci,English,USA,movie
Foxcatcher,2014,R,"Biography, Drama, Sport",Bennett Miller,English,USA,movie
Big Eyes,2014,PG-13,"Biography, Drama",Tim Burton,English,USA,movie
Dwegons and Leprechauns,2014,PG,Animation,Tom Walsh,English,USA,movie
After,2014,R,"Drama, Mystery",Pieter Gaspersz,English,USA,movie
Dolls of Voodoo,2013,R,Thriller,Kenya Moore,English,USA,movie
Baggage Claim,2013,PG-13,Comedy,David E. Talbert,English,USA,movie
You're Not You,2014,R,Drama,George C. Wolfe,English,USA,movie
Last Vegas,2013,PG-13,Comedy,Jon Turteltaub,English,USA,movie
Ouija,2014,PG-13,Horror,Stiles White,English,USA,movie
16 Stones,2014,PG,Adventure,Brian Brough,English,USA,movie
Kill the Messenger,2014,R,"Biography, Crime, Drama",Michael Cuesta,English,USA,movie
Retina,2014,Not Rated,"Drama, Thriller",Carlos Ferrer,English,USA,movie
Anchorman 2: The Legend Continues,2013,R,Comedy,Adam McKay,English,USA,movie
RoboCop,2014,PG-13,"Action, Adventure, Sci-Fi",Jos� Padilha,English,USA,movie
300: Rise of an Empire,2014,R,"Action, Drama, Fantasy",Noam Murro,English,USA,movie
Paradise,2013,PG-13,"Comedy, Drama",Diablo Cody,English,USA,movie
Hercules,2014,PG-13,"Action, Adventure",Brett Ratner,English,USA,movie
Behind the Door,2014,R,"Horror, Mystery, Thriller",Kevin Hicks,English,USA,movie
Evil Dead,2013,R,Horror,Fede Alvarez,English,USA,movie
Teenage Mutant Ninja Turtles,2014,PG-13,"Action, Adventure, Comedy",Jonathan Liebesman,English,USA,movie
Behind the Candelabra,2013,TV-MA,"Biography, Drama, Romance",Steven Soderbergh,English,USA,movie
The Angriest Man in Brooklyn,2014,R,"Comedy, Drama",Phil Alden Robinson,English,USA,movie
The Haunting of Pearson Place,2013,Not Rated,"Comedy, Horror, Thriller",Michael Merino,English,USA,movie
House of Dust,2013,R,"Horror, Thriller",A.D. Calvo,English,USA,movie
A.C.O.D.,2013,R,Comedy,Stu Zicherman,English,USA,movie
Kill Your Darlings,2013,R,"Biography, Drama, Romance",John Krokidas,English,USA,movie
Greyscale,2014,Not Rated,"Action, Crime, Drama",Ryan Dunlap,English,USA,movie
Oldboy,2013,R,"Action, Drama, Mystery",Spike Lee,English,USA,movie
Oldboy,2013,R,"Action, Drama, Mystery",Spike Lee,English,USA,movie
Gangster Squad,2013,R,"Action, Crime, Drama",Ruben Fleischer,English,USA,movie
August: Osage County,2013,R,Drama,John Wells,English,USA,movie
Aliens: Zone-X,2013,PG-13,Sci-Fi,Thomas R. Dickens,English,USA,movie
The Story of Your Life,2013,Not Rated,"Drama, Romance, Thriller",Jesse Cilio,English,USA,movie
Something Wicked,2014,R,"Drama, Horror, Mystery",Darin Scott,English,USA,movie
Lee Daniels' The Butler,2013,PG-13,"Biography, Drama",Lee Daniels,English,USA,movie
Jack the Giant Slayer,2013,PG-13,"Adventure, Fantasy",Bryan Singer,English,USA,movie
If I Stay,2014,PG-13,Drama,R.J. Cutler,English,USA,movie
I Am Divine,2013,Not Rated,Documentary,Jeffrey Schwarz,English,USA,movie
Good People,2014,R,"Action, Crime, Thriller",Henrik Ruben Genz,English,USA,movie
This Is Where I Leave You,2014,R,"Comedy, Drama",Shawn Levy,English,USA,movie
Dark House,2014,R,"Horror, Thriller",Victor Salva,English,USA,movie
Prisoners,2013,R,"Crime, Drama, Thriller",Denis Villeneuve,English,USA,movie
Sinbad: The Fifth Voyage,2014,PG-13,"Action, Adventure, Fantasy",Shahin Sean Solimon,English,USA,movie
Ride Along,2014,PG-13,"Action, Comedy",Tim Story,English,USA,movie
Exit to Hell,2013,R,"Action, Horror, Thriller",Robert Conway,English,USA,movie
Awful Nice,2013,R,Comedy,Todd Sklar,English,USA,movie
Teenage Mutant Ninja Turtles,2014,PG-13,"Action, Adventure, Comedy",Jonathan Liebesman,English,USA,movie
Black Nativity,2013,PG,"Drama, Musical",Kasi Lemmons,English,USA,movie
HairBrained,2013,PG-13,Comedy,Billy Kent,English,USA,movie
Easy Rider: The Ride Back,2013,R,"Adventure, Drama",Dustin Rikert,English,USA,movie
Inventing Adam,2013,PG-13,Comedy,Richie Adams,English,USA,movie
The Letters,2014,PG,Drama,William Riead,English,USA,movie
Claire,2013,Not Rated,"Drama, Mystery, Thriller",Dan Ast,English,USA,movie
Monsters University,2013,G,"Animation, Adventure, Comedy",Dan Scanlon,English,USA,movie
The Haunting in Connecticut 2: Ghosts of Georgia,2013,R,"Drama, Horror, Thriller",Tom Elkins,English,USA,movie
Henry & Me,2014,PG,"Animation, Family",Barrett Esposito,English,USA,movie
Big Sur,2013,R,Drama,Michael Polish,English,USA,movie
All Is Bright,2013,R,"Comedy, Drama",Phil Morrison,English,USA,movie
Decoding Annie Parker,2013,R,Drama,Steven Bernstein,English,USA,movie
Kitumba,2013,TV-PG,"Action, Adventure, Sci-Fi",Vic Mignogna,English,USA,episode
Dante's Hell Animated,2014,R,"Animation, Short",Boris Acosta,Italian,USA,movie
American Meat,2013,Not Rated,Documentary,Graham Meriwether,English,USA,movie
Oblivion,2013,PG-13,"Action, Adventure, Mystery",Joseph Kosinski,English,USA,movie
At Middleton,2013,R,"Comedy, Romance",Adam Rodgers,English,USA,movie
The Dalhia Knights,2014,R,Action,Milos Twilight,English,USA,movie
Breaking the Girls,2013,Not Rated,"Crime, Thriller",Jamie Babbit,English,USA,movie
The Lives of Better Men,2014,Not Rated,"Crime, Drama, Thriller",Marc H. Noda,English,USA,movie
Walking with the Enemy,2013,PG-13,"Action, Drama, History",Mark Schmidt,English,USA,movie
Area 51,2014,R,"Horror, Sci-Fi, Thriller",Oren Peli,English,USA,movie
The Disappearance of Eleanor Rigby: Him,2013,R,"Drama, Romance",Ned Benson,English,USA,movie
Battle of the Year,2013,PG-13,Music,Benson Lee,English,USA,movie
Wiener Dog Nationals,2013,G,"Comedy, Family, Sport",Kevan Peterson,English,USA,movie
Rushlights,2013,R,"Crime, Drama, Romance",Antoni Stutz,English,USA,movie
