facilityname,manager,owner
ADAK,INNOCENT DUSHKIN,ALASKA DOT&PF SOUTHCOAST REGION
AKHIOK,ROBERT GREENE,ALASKA DOT&PF SOUTHCOAST REGION
AKIACHAK,LAWRENCE DAVIS,ALASKA DOT&PF CENTRAL REGION
AKIACHAK,NO MANAGER,PUBLIC DOMAIN
AKIAK,LAWRENCE DAVIS,ALASKA DOT&PF CENTRAL REGION
AKUTAN,DALE RUCKMAN,ALASKA DOT&PF SOUTHCOAST REGION
AKUTAN,JOE BERESKIN,CITY OF AKUTAN
AKUTAN,JOE BERESKIN,CITY OF AKUTAN
AKUTAN,JOE BERESKIN,CITY OF AKUTAN
ALAKANUK,JOHN WILSON,ALASKA DOT&PF NORTHERN REGION
ALASKA RGNL HOSPITAL,PAUL BOWERS A.A.E.,MUNICIPALITY OF ANCHORAGE
ALEKNAGIK,NORMAN HEYANO,ALASKA DOT&PF CENTRAL REGION
ALEKNAGIK,ROLAND OR BEVERLY MOODY,MOODY
ALEKNAGIK,RON SMITH,WOODRIVER HEIGHTS
ALLAKAKET,TOM WILLIAMS,ALASKA DOT&PF NORTHERN REGION
AMBLER,ALVIN WERNEKE,ALASKA DOT&PF NORTHERN REGION
AMERICAN CREEK,RICK DOLFI,DNR-DIV. OF MINING LAND WATER
AMOOK BAY,MIKE MUNSEY,MIKE MUNSEY
ANAKTUVUK PASS,TOM D. NICOLOS,NORTH SLOPE BOROUGH
ANCHOR RIVER AIRPARK,JIM DRESS,ANCHOR RIVER AIRPARK OWNERS ASSOC
ANCHORAGE LOFTS HOTEL HELIPORT,RANDY COMER,H.P. HOLDINGS INC.
ANGOON,DALE RUCKMAN,ALASKA DOT&PF SOUTHCOAST REGION
ANGOON,NO MANAGER,PUBLIC DOMAIN
ANGOON,PAUL KHERA,ALASKA DOT&PF SOUTHCOAST REGION
ANGOON,PAUL KHERA,ALASKA DOT&PF SOUTHCOAST REGION
ANIAK,HILCORP ALASKA LLC,HILCORP ALASKA LLC
ANIAK,NO MANAGER,PUBLIC DOMAIN
ANIAK,RICHARD CILETTI,ALASKA DOT&PF CENTRAL REGION
ANNETTE ISLAND,MAYOR AUDREY M. L. HUDSON,METLAKATLA INDIAN COMM
ANVIK,ERIK WEINGARTH,ALASKA DOT&PF NORTHERN REGION
ANVIK,NO MANAGER,PUBLIC DOMAIN
ARCTIC VILLAGE,JONATHAN JOHNS,VENETIE TRIBAL GOVN
ATKA,DALE RUCKMAN,ALASKA DOT&PF SOUTHCOAST REGION
ATMAUTLUAK,LAWRENCE DAVIS,ALASKA DOT&PF CENTRAL REGION
ATQASUK EDWARD BURNELL SR MEMORIAL,TOM D. NICOLOS,NORTH SLOPE BOROUGH
BANGERTER FIELD,KENT BANGERTER,KENT BANGERTER
BARANOF WARM SPRINGS,HARBORMASTER,CITY AND BOROUGH OF SITKA
BARANOF WARM SPRINGS,HARBORMASTER,CITY AND BOROUGH OF SITKA
BARTER ISLAND,TOM NICOLOS,NORTH SLOPE BOROUGH
BARTLETT COVE,SUPERINTENDANT OF GLACIER BAY,NPS GLACIER BAY NATL PARK & PRES
BASIN CREEK,RON ENGSTROM,ENGSTROM DREDGING CO
BEAR CREEK,JOSEPH JOHNSON,ALASKA DOT&PF NORTHERN REGION
BEAR CREEK,NO MANAGER,PUBLIC DOMAIN
BEAVER,TOM WILLIAMS,ALASKA DOT&PF NORTHERN REGION
BEAVER LAKE,BILLY CRANFORD,STATE OF ALASKA DNR
BELL ISLAND HOT SPRINGS,DONALD PETERSON,DONALD PETERSON
BELUGA,CHARLES DEER,CHUGACH ELECTRIC
BELUGA,HILCORP ALASKA LLC,HILCORP ALASKA LLC
BELUGA,HILCORP ALASKA LLC,HILCORP ALASKA LLC
BETHEL,LAWRENCE DAVIS,ALASKA DOT&PF CENTRAL REGION
BETHEL,NO MANAGER,PUBLIC DOMAIN
BETHEL,TOM WILLIAMS,ALASKA DOT&PF NORTHERN REGION
BETTLES,TOM WILLIAMS,ALASKA DOT&PF NORTHERN REGION
BIG LAKE,STEVE BANSE,ALASKA DOT&PF CENTRAL REGION
BIG MOUNTAIN,JOHN SMITH,US AIR FORCE
BIRCH CREEK,TOM WILLIAMS,ALASKA DOT&PF NORTHERN REGION
BIRCHWOOD,KEITH WILSON,STATE OF AK DNR
BIRCHWOOD,TOM GRMAN,ALASKA DOT&PF CENTRAL REGION
BLACK RAPIDS,BRENDA BECKER,BUREAU OF LAND MGMT
BOLD,KEITH WILSON,STATE OF AK DNR
BOSWELL BAY,UNKNOWN,US FOREST SERVICE
BOUNDARY,DENNIS BISHOP,ALASKA DOT&PF NORTHERN REGION
BREVIG MISSION,JOSEPH JOHNSON,ALASKA DOT&PF NORTHERN REGION
BROCKER LAKE,JOSEPH FISCHER,STATE OF AK DNR
BROCKER LAKE,TOM WILLIAMS,ALASKA DOT&PF NORTHERN REGION
BROCKER LAKE,TOM WILLIAMS,ALASKA DOT&PF NORTHERN REGION
BROCKER LAKE,JOSEPH FISCHER,STATE OF AK DNR
BROWN'S HOMESTEAD,BILL & KAYLENE BROWN,BILL & KAYLENE BROWN
BUCK CREEK,DENNIS BISHOP,ALASKA DOT&PF NORTHERN REGION
BUCK CREEK,NO MANAGER,PUBLIC DOMAIN
BUCK CREEK,NO MANAGER,PUBLIC DOMAIN
BUCKLAND,ALVIN WERNEKE,ALASKA DOT&PF NORTHERN REGION
CAMPBELL,DAVE DOUCET,US BUREAU OF LAND MANAGEMENT
CAMPBELL,DAVE DOUCET,US BUREAU OF LAND MANAGEMENT
CAMPBELL,DR. JOHN SPARAGA,CAMPBELL LAKE OWNERS INC
CAMPBELL,DR. JOHN SPARAGA,CAMPBELL LAKE OWNERS INC
CANDLE 2,DAVID THACKER,ELITE PORTFOLIO LLC
CANTWELL,RAY ATKINS,BILL SIMMS
CAPE DECISION LIGHTHOUSE,CAPE DECISION LIGHTHOUSE SOCIETY,CAPE DECISION LIGHTHOUSE SOCIETY
CAPE LISBURNE LRRS,US AIR FORCE,US AIR FORCE
CASCO COVE CGS,COMMANDER LORAN STATION,US COAST GUARD
COWELL'S,FULLER A. COWELL,FULLER A. COWELL
CRAIG,JON BOLLING,CITY OF CRAIG
CRAIG,JON BOLLING,CITY OF CRAIG
CUBDIVISION,LEE BUDDE,CUBDIVISION LOT OWNERS
DAVIDSON STRIP,DANNY DAVIDSON,DANNY DAVIDSON
DELTA,DAVID WEBBER,DAVID AND TWYLA WEBBER
DELTA,JACK MORRIS,CITY OF DELTA JUNCTION
DELTA JUNCTION,JACK MORRIS,CITY OF DELTA JUNCTION
DELTA JUNCTION,JACK MORRIS,CITY OF DELTA JUNCTION
DRY BAY,DRY BAY DISTRICT RANGER,GLACIER BAY NATIONAL PARK
EAGLES ROOST,GUY TURNER,GUY TURNER
EASTLAND,DOUGLAS SCHADE,GLACIERVIEW FARM LTD PARTNERSHIP
EASTLAND,DOUGLAS SCHADE,GLACIERVIEW FARM LTD PARTNERSHIP
EEK,DAVID CUMMINGS,ALASKA DOT&PF CENTRAL REGION
EGEGIK,DON STRAND,CITY OF EGEGIK
EGEGIK,DON STRAND,CITY OF EGEGIK
