facilityname,type,region,owner,manager
ADAK,AIRPORT,ALEUTIANS WEST,ALASKA DOT&PF SOUTHCOAST REGION,INNOCENT DUSHKIN
AKHIOK,AIRPORT,KODIAK ISLAND,ALASKA DOT&PF SOUTHCOAST REGION,ROBERT GREENE
AKIACHAK,AIRPORT,BETHEL,ALASKA DOT&PF CENTRAL REGION,LAWRENCE DAVIS
AKIAK,AIRPORT,BETHEL,ALASKA DOT&PF CENTRAL REGION,LAWRENCE DAVIS
AKUTAN,AIRPORT,ALEUTIANS EAST,ALASKA DOT&PF SOUTHCOAST REGION,DALE RUCKMAN
AKUTAN,SEAPLANE BASE,ALEUTIANS EAST,CITY OF AKUTAN,JOE BERESKIN
ALAKANUK,AIRPORT,WADE HAMPTON,ALASKA DOT&PF NORTHERN REGION,JOHN WILSON
ALASKA RGNL HOSPITAL,HELIPORT,ANCHORAGE,MUNICIPALITY OF ANCHORAGE,PAUL BOWERS A.A.E.
ALEKNAGIK,SEAPLANE BASE,BRISTOL BAY,MOODY,ROLAND OR BEVERLY MOODY
ALEKNAGIK,AIRPORT,BRISTOL BAY,ALASKA DOT&PF CENTRAL REGION,NORMAN HEYANO
ALLAKAKET,AIRPORT,YUKON-KOYUKUK,ALASKA DOT&PF NORTHERN REGION,TOM WILLIAMS
AMERICAN CREEK,AIRPORT,YUKON-KOYUKUK,DNR-DIV. OF MINING LAND AND WATER,NONE
AMOOK BAY,SEAPLANE BASE,KODIAK ISLAND,MIKE MUNSEY,MIKE MUNSEY
ANAKTUVUK PASS,AIRPORT,YUKON-KOYUKUK,NORTH SLOPE BOROUGH,TOM D. NICOLOS
ANCHOR RIVER AIRPARK,AIRPORT,KENAI PENINSULA,ANCHOR RIVER AIRPARK OWNERS ASSOC,JIM DRESS
ANCHORAGE LOFTS HOTEL HELIPORT,HELIPORT,ANCHORAGE,H.P. HOLDINGS INC.,RANDY COMER
ANGOON,SEAPLANE BASE,SITKA,ALASKA DOT&PF SOUTHCOAST REGION,PAUL KHERA
ANVIK,AIRPORT,KUSKOKWIM,ALASKA DOT&PF NORTHERN REGION,ERIK WEINGARTH
ANVIK,SEAPLANE BASE,KUSKOKWIM,PUBLIC DOMAIN,NONE
ARCTIC VILLAGE,AIRPORT,UPPER YUKON,VENETIE TRIBAL GOVN,JONATHAN JOHNS
ATKA,AIRPORT,ALEUTIANS WEST,ALASKA DOT&PF SOUTHCOAST REGION,DALE RUCKMAN
ATQASUK EDWARD BURNELL SR MEMORIAL,AIRPORT,NORTH SLOPE,NORTH SLOPE BOROUGH,TOM D. NICOLOS
BARANOF WARM SPRINGS FLOAT AND SEAPLANE FL,SEAPLANE BASE,WRANGELL-PETERSBURG,CITY AND BOROUGH OF SITKA,HARBORMASTER
BARTER ISLAND,AIRPORT,UPPER YUKON,NORTH SLOPE BOROUGH,TOM NICOLOS
BARTLETT COVE,SEAPLANE BASE,SKAGWAY-YAKUTAT,NPS GLACIER BAY NATL PARK & PRES,SUPERINTENDANT OF GLACIER BAY
BASIN CREEK,AIRPORT,NOME,ENGSTROM DREDGING CO,RON ENGSTROM
BEAR CREEK 1,AIRPORT,KOBUK,PUBLIC DOMAIN,NONE
BEAR CREEK 3,AIRPORT,KUSKOKWIM,PUBLIC DOMAIN,NONE
BEAVER,AIRPORT,UPPER YUKON,ALASKA DOT&PF NORTHERN REGION,TOM WILLIAMS
BEAVER LAKE,SEAPLANE BASE,MATANUSKA-SUSITNA,STATE OF ALASKA DNR,BILLY CRANFORD
BELL ISLAND HOT SPRINGS,SEAPLANE BASE,KETCHIKAN GATEWAY,DONALD PETERSON,DONALD PETERSON
BETHEL,SEAPLANE BASE,BETHEL,PUBLIC DOMAIN,NONE
BETTLES,AIRPORT,YUKON-KOYUKUK,ALASKA DOT&PF NORTHERN REGION,TOM WILLIAMS
BIG LAKE,AIRPORT,MATANUSKA-SUSITNA,ALASKA DOT&PF CENTRAL REGION,STEVE BANSE
BIG MOUNTAIN,AIRPORT,KODIAK ISLAND,U.S. AIR FORCE,JOHN SMITH
BIRCH CREEK,AIRPORT,FAIRBANKS NORTH STAR,ALASKA DOT&PF NORTHERN REGION,TOM WILLIAMS
BLACK RAPIDS,AIRPORT,FAIRBANKS NORTH STAR,BUREAU OF LAND MGMT,BRENDA BECKER
BOLD,AIRPORT,ANCHORAGE,STATE OF AK DNR,KEITH WILSON PARK RANGER
BOSWELL BAY,AIRPORT,CORDOVA-MCCARTHY,U.S. FOREST SERVICE,UNKNOWN
BOUNDARY,AIRPORT,UPPER YUKON,ALASKA DOT&PF NORTHERN REGION,DENNIS BISHOP
BROCKER LAKE,SEAPLANE BASE,MATANUSKA-SUSITNA,STATE OF AK DNR,JOSEPH FISCHER
BROWN'S HOMESTEAD,AIRPORT,MATANUSKA-SUSITNA,BILL & KAYLENE BROWN,BILL & KAYLENE BROWN
BRYANT AAF,AIRPORT,ANCHORAGE,US GOVT USA,BRYANT ARMY AIRFIELD
BUCK CREEK,AIRPORT,NOME,PUBLIC DOMAIN,NONE
BUCKLAND,AIRPORT,UNORGANIZED,ALASKA DOT&PF NORTHERN REGION,ALVIN WERNEKE
CAMPBELL,AIRPORT,ANCHORAGE,U S GOVT BLM,DAVE DOUCET
CAMPBELL,HELIPORT,ANCHORAGE,U S GOVT BLM,DAVE DOUCET
CANDLE 2,AIRPORT,UNORGANIZED,ELITE PORTFOLIO LLC,DAVID THACKER
CANTWELL,AIRPORT,MATANUSKA-SUSITNA,BILL SIMMS,RAY ATKINS
CAPE DECISION LIGHTHOUSE,HELIPORT,WRANGELL-PETERSBURG,CAPE DECISION LIGHTHOUSE SOCIETY,CAPE DECISION LIGHTHOUSE SOCIETY
CAPE LISBURNE LRRS,AIRPORT,BARROW,U.S. AIR FORCE,U.S. AIR FORCE
CAPE NEWENHAM LRRS,AIRPORT,BETHEL,U.S. AIR FORCE,COMMANDER
CAPE POLE,SEAPLANE BASE,PRINCE OF WALES,L.O.G. LOG CO.,NONE
CAPE ROMANZOF LRRS,AIRPORT,WADE HAMPTON,U.S. AIR FORCE,NICK HILTON
CAPE SPENCER C G,HELIPORT,SKAGWAY-YAKUTAT,U S GOVT,O I C
