99.owner,PUBLIC DOMAIN,KEN THORALL
79.owner,MOODY,WILLIAM L. KRAMER
39.owner,ROBERT HUTCHISON,ALASKA DOT&PF CENTRAL REGION
85.owner,EDMUND MONT MAHONEY,MUNICIPALITY OF ANCHORAGE
24.owner,US FOREST SERVICE,PUBLIC DOMAIN
53.owner,STATE OF ALASKA DNR,PUBLIC DOMAIN
94.owner,ENGSTROM DREDGING CO,PUBLIC DOMAIN
81.owner,HILCORP ALASKA LLC,GRACE WHEDBEE
40.owner,WOODRIVER HEIGHTS,PUBLIC DOMAIN
56.owner,BILL & KAYLENE BROWN,US BUREAU OF LAND MANAGEMENT
54.owner,STATE OF AK DOTPF N REG,ALASKA DOT&PF NORTHERN REGION
74.owner,ALASKA DOT&PF SOUTHCOAST REGION,PUBLIC DOMAIN
28.owner,DALE NORD,NORTH SLOPE BOROUGH
86.owner,CUBDIVISION LOT OWNERS,MIKE GRAVES
44.owner,METLAKATLA INDIAN COMM,ALASKA DOT&PF NORTHERN REGION
35.owner,NORTH SLOPE BOROUGH,ALASKA DOT&PF NORTHERN REGION
27.owner,LARRY A. LEVINE,ALASKA DOT&PF CENTRAL REGION
34.owner,ENGSTROM DREDGING CO,PUBLIC DOMAIN
41.owner,DONALD PETERSON,ALASKA DOT&PF NORTHERN REGION
26.owner,PROVIDENCE HEALTH SYSTEM,ALASKA DOT&PF SOUTHCOAST REGION
