type,region,facilityname,manager,owner,ownertype
AIRPORT,ALEUTIAN ISLANDS,ADAK,INNOCENT DUSHKIN,ALASKA DOT&PF SOUTHCOAST REGION,GOV
AIRPORT,KODIAK ISLAND,AKHIOK,ROBERT GREENE,ALASKA DOT&PF SOUTHCOAST REGION,GOV
AIRPORT,BETHEL,AKIACHAK,LAWRENCE DAVIS,ALASKA DOT&PF CENTRAL REGION,GOV
SEAPLANE BASE,BETHEL,AKIACHAK,NO MANAGER,PUBLIC DOMAIN,PUBLIC
AIRPORT,BETHEL,AKIAK,LAWRENCE DAVIS,ALASKA DOT&PF CENTRAL REGION,GOV
AIRPORT,ALEUTIAN ISLANDS,AKUTAN,DALE RUCKMAN,ALASKA DOT&PF SOUTHCOAST REGION,GOV
SEAPLANE BASE,ALEUTIAN ISLANDS,AKUTAN,JOE BERESKIN,CITY OF AKUTAN,GOV
AIRPORT,KUSILVAK,ALAKANUK,JOHN WILSON,ALASKA DOT&PF NORTHERN REGION,GOV
HELIPORT,ANCHORAGE,ALASKA RGNL HOSPITAL,PAUL BOWERS A.A.E.,MUNICIPALITY OF ANCHORAGE,GOV
SEAPLANE BASE,BRISTOL BAY,ALEKNAGIK,ROLAND OR BEVERLY MOODY,MOODY,INDIVIDUAL
AIRPORT,BRISTOL BAY,ALEKNAGIK NEW,NORMAN HEYANO,ALASKA DOT&PF CENTRAL REGION,GOV
AIRPORT,BRISTOL BAY,ALEKNAGIK MISSION STRIP,RON SMITH,WOODRIVER HEIGHTS,GROUP
AIRPORT,YUKON-KOYUKUK,ALLAKAKET,TOM WILLIAMS,ALASKA DOT&PF NORTHERN REGION,GOV
AIRPORT,NORTHWEST ARCTIC,AMBLER,ALVIN WERNEKE,ALASKA DOT&PF NORTHERN REGION,GOV
AIRPORT,YUKON-KOYUKUK,AMERICAN CREEK,NO MANAGER,DNR-DIV. OF MINING LAND WATER,GOV
SEAPLANE BASE,KODIAK ISLAND,AMOOK BAY,MIKE MUNSEY,MIKE MUNSEY,INDIVIDUAL
AIRPORT,YUKON-KOYUKUK,ANAKTUVUK PASS,TOM D. NICOLOS,NORTH SLOPE BOROUGH,GOV
AIRPORT,KENAI PENINSULA,ANCHOR RIVER AIRPARK,JIM DRESS,ANCHOR RIVER AIRPARK OWNERS ASSOC,GROUP
HELIPORT,ANCHORAGE,ANCHORAGE LOFTS HOTEL HELIPORT,RANDY COMER,H.P. HOLDINGS INC.,CORP
SEAPLANE BASE,SITKA,ANGOON,PAUL KHERA,ALASKA DOT&PF SOUTHCOAST REGION,CORP
AIRPORT,KUSKOKWIM,ANIAK,RICHARD CILETTI,ALASKA DOT&PF CENTRAL REGION,GOV
AIRPORT,KETCHIKAN GATEWAY,ANNETTE ISLAND,MAYOR AUDREY M. L. HUDSON,METLAKATLA INDIAN COMM,GROUP
AIRPORT,KUSKOKWIM,ANVIK,ERIK WEINGARTH,ALASKA DOT&PF NORTHERN REGION,GOV
SEAPLANE BASE,KUSKOKWIM,ANVIK,NO MANAGER,PUBLIC DOMAIN,PUBLIC
