facilityname,sitenumber,owner,manager
ADAK,50009,ALASKA DOT&PF SOUTHCOAST REGION,INNOCENT DUSHKIN
AKHIOK,50016.1,ALASKA DOT&PF SOUTHCOAST REGION,ROBERT GREENE
AKHIOK,50016.1,ALASKA DOT&PF SOUTHCOAST REGION,JOHN SMITH
AKHIOK,50016.1,OLGA ROGERS,ROBERT GREENE
AKIACHAK,50017,ALASKA DOT&PF CENTRAL REGION,LAWRENCE DAVIS
AKIACHAK,50017.1,PUBLIC DOMAIN,NO MANAGER
AKIAK,50020,ALASKA DOT&PF CENTRAL REGION,LAWERENCE DAVIS
AKUTAN,50022,CITY OF AKUTAN,JOE BERESKIN
AKUTAN,50022,CITY OF AKUTAN,JOE BERESKIN
WRANGELL,50022,CITY OF AKUTAN,JOE BERESKIN
RED DOG,50022,CITY OF AKUTAN,JOE BERESKIN
AKUTAN,50022.1,ALASKA DOT&PF SOUTHCOAST REGION,DALE RUCKMAN
ALAKANUK,50024.1,ALASKA DOT&PF NORTHERN REGION,JOHN WILSON
ALAKANUK,50024.1,ALASKA DOT&PF NORTHERN REGION,JOHN WILSON
SIXMILE LAKE,50024.1,SKELTON AIRPORT LLC,JOHN WILSON
TRIPOD,50027.51,PUBLIC DOMAIN,NO MANAGER
TRIPOD,50027.51,PUBLIC DOMAIN,NO MANAGER
ALEKNAGIK,50027.52,MOODY,ROLAND OR BEVERLY MOODY
ALEKNAGIK,50027.53,ALASKA DOT&PF CENTRAL REGION,NORMAN HEYANO
ALEKNAGIK MISSION STRIP,50027.6,WOODRIVER HEIGHTS,RON SMITH
ALEKNAGIK MISSION STRIP,50027.6,WOODRIVER HEIGHTS,RON SMITH
ALEKNAGIK MISSION STRIP,50027.6,WOODRIVER HEIGHTS,ALASKA LOGGING & PULP
ALEKNAGIK MISSION STRIP,50027.6,GREG & PEGGY TURNER,JUNEAU DOCKS AND HARBOR DEPARTMENT
ALLAKAKET,50029.1,ALASKA DOT&PF NORTHERN REGION,TOM WILLIAMS
