title,rating,director,year
Criminal Hatred,TV-14,Adam Bernstein,2013
Criminal Hatred,TV-14,Adam Bernstein,2013
Criminal Hatred,TV-14,Adam Bernstein,2013
Pilot,TV-14,Adam Bernstein,2013
Pilot,TV-14,Adam Bernstein,2013
Pilot,TV-PG,Adam Bernstein,1994
Pilot,TV-14,James Burrows,1994
Pilot,TV-14,James Burrows,1994
Pilot,TV-14,James Burrows,2009
Patient Zero,TV-14,Adam Davidson,2014
Patient Zero,TV-14,Adam Davidson,2014
Sacrifice,TV-14,Adam Davidson,2014
Sacrifice,TV-14,Adam Davidson,2014
Dead of the Class,TV-14,Alec Smight,2013
Dead of the Class,TV-14,Alec Smight,2013
Frame by Frame,TV-14,Alec Smight,2013
Frame by Frame,TV-14,Alec Smight,2019
The CSI Effect,TV-14,Alec Smight,2014
The CSI Effect,R,Alec Smight,2014
Back in Action,TV-14,Anthony Mastanduno,2013
Bad Trouble Here,TV-14,Anthony Mastanduno,2013
Bad Trouble Here,TV-14,Anthony Mastanduno,2013
Bad Trouble Here,TV-MA,Anthony Mastanduno,2015
Breakdown at Tiffany's,TV-14,Anthony Mastanduno,2013
Computer Crash,TV-14,Anthony Mastanduno,2013
Computer Crash,TV-14,Anthony Mastanduno,2015
Gold Crash,TV-14,Anthony Mastanduno,2013
Harold's Gamble,TV-14,Anthony Mastanduno,2013
Seth in Charge,TV-14,Anthony Mastanduno,2013
Seth in Charge,TV-14,Anthony Mastanduno,2013
Seth Snaps,TV-14,Anthony Mastanduno,2013
Seth Snaps,TV-MA,Anthony Mastanduno,2013
Seth Snaps,TV-14,Anthony Mastanduno,2013
Seth Snaps,TV-14,Anthony Mastanduno,2013
A Portrait of the Artist as a Young Call Girl,TV-14,Bethany Rooney,2013
Final Shot,TV-14,Bethany Rooney,2013
Final Shot,PG,Bethany Rooney,2013
State vs Queen,TV-14,Bethany Rooney,2013
Strange Brew,TV-14,Bethany Rooney,2013
Strange Brew,TV-14,Bethany Rooney,2013
A View to a Kill,TV-14,Brad Turner,2013
Aftermath,TV-14,Brad Turner,2013
Aftermath,TV-14,Brad Turner,2015
Aftermath,R,James Kent,2019
Aftermath,R,James Kent,2019
House of the Rising Son,TV-14,Brad Turner,2013
House of the Rising Son,TV-14,Brad Turner,2013
The Haunting,TV-14,Brad Turner,2014
