Title,Year,Director,PrimaryActor
Addiction,2014,Tara Nicole Weyr,Madeleine Stowe
Pontiac Bandit,2014,Craig Zisk,Andy Samberg
Fromage,2013,Tim Hunter,Hugh Dancy
Percy Jackson: Sea of Monsters,2013,Thor Freudenthal,Logan Lerman
The Chosen One,2013,Paul A. Kaufman,Chris O'Donnell
The Frozen Ground,2013,Scott Walker,Nicolas Cage
The Love Spell Potential,2013,Anthony Joseph Rich,Johnny Galecki
Arrhythmia,2013,Jeff T. Thomas,Karl Urban
Episode #2.6,2013,Jay Karas,Curtis Kingsley
Kathy Griffin: Kennedie Center On-Hers,2013,Paul Miller,Kathy Griffin
My Friend Falcon,2013,Michael Blieden,Malin Akerman
Contrary to Likeness,2014,Motke Dapp,Liz Boliver
The Story of Your Life,2013,Jesse Cilio,Matthew Wolf
John Wick,2014,"David Leitch, Chad Stahelski",Keanu Reeves
From Darkness to Light,2013,Andy Goddard,Jonathan Rhys Meyers
What Potential!,2014,Dave Shaver,Ashley Paine
Backfire,2013,Frank Waldeck,Ted Danson
Tangled Up in Blue,2013,Chris Grismer,Joseph Morgan
Imperfect Circles,2013,Miguel Sapochnik,Mike Vogel
Gilbert Gottfried/T. J. Miller/Aisha Tyler,2013,Jay Karas,Jeffrey Ross
Home Invasion,2013,Kenneth Fink,Stephen Amell
Crystal Lake Memories: The Complete History of Friday the 13th,2013,Daniel Farrands,Melyssa Ade
The Inevitable Defeat of Mister & Pete,2013,George Tillman Jr.,Skylan Brooks
Restitution,2014,Adam Arkin,Timothy Olyphant
The Fact in the Fiction,2013,Dwight H. Little,Emily Deschanel
Addict,2013,Nino Cimino,Nino Cimino
The Twilight's Last Gleaming,2013,Deborah A. Sprouse,Jared Armes
Interfase 551,2013,Carlos Ramirez-Torres,
The Heartbroken Rainbow,2013,Susan Strowhorn,Linda Bosso
Dante's Hell Animated,2014,Boris Acosta,Armand Mastroianni
Palo Alto,2013,Gia Coppola,Jack Kilmer
The Green Inferno,2013,Eli Roth,Lorenza Izzo
#realness,2013,Mike Listo,Shenae Grimes-Beech
Sidney,2014,Matthew J. Senatore,Stefania Marcone
Man on the Moon,2013,Bobby Roth,Ellen Pompeo
Parts Per Billion,2014,Brian Horiuchi,Frank Langella
Vicious Coupling,2013,Bryan Fordney,H. Jon Benjamin
To Bear Witness,2013,Rob Bailey,Joe Mantegna
The Cookie Jar,2013,"Jeffrey Reiner, Kate Woods",Steven Pasquale
Yo Soy Capitan,2014,Tucker Gates,Liev Schreiber
Music Festival,2013,Michael Weaver,Mindy Kaling
Mega Mission,2013,Jonathan Tzachor,Andrew M. Gray
A Little Reflection,2013,John Dahl,Michael C. Hall
Back to the Hustle,2013,Anthony Mastanduno,Ashley Broad
Eye Spy,2013,Roxann Dawson,Clark Gregg
On All Fours,2013,Lena Dunham,Lena Dunham
All the Time in the World,2013,Chris Fisher,Eddie McClintock
Urgent Care,2013,Thomas John Nudi,Johanna Albertsson
The Appearing,2014,Daric Gates,Will Wallace
Blind Faith,2013,Adam Bernstein,David Duchovny
Readiness Is All,2013,Tony Phelan,Ellen Pompeo
Scar Tissue,2013,Stefan Schwartz,Michael C. Hall
Bulletproof,2014,Leslie Libman,Mark Harmon
The Midnight Ride,2013,Douglas Aarniokoski,Tom Mison
The Hero of Color City,2014,Frank Gladstone,Christina Ricci
Rom-Com Tom,2013,Mike Ladue,David R. Allen
Neal Brennan: Women and Black Dudes,2014,Neal Brennan,Neal Brennan
The Fourth Hand,2013,Roxann Dawson,Mike Vogel
"Fit Town, Fat Town",2013,Joe Burke,Mather Zickel
Episode #1.7,2014,Dakota Lupo,Annabel Amaral
Born to Race: Fast Track,2014,Alex Ranarivelo,Brett Davern
Everyday Superman,2014,"Derek Taylor, Glenn Vaughn",Glenn Vaughn
Entering,2013,Dustin Street,Austin Olive
Jobs,2013,Joshua Michael Stern,Ashton Kutcher
Long Arm,2014,Brent Jones,John Cockroft
Fatal,2014,Larry Teng,Joe Mantegna
Quiet Minds,2014,Eagle Egilsson,Ginnifer Goodwin
The Adventures of RoboRex,2014,Stephen Shimek,Ben Browder
The Better Half,2013,Phil Abraham,Jon Hamm
The Clean Room,2014,"Brannon Braga, Ann Druyan",Neil deGrasse Tyson
Power(less),2014,Stephen Hopkins,Don Cheadle
Red John,2013,Chris Long,Simon Baker
Cameron Diaz/Mario Batali,2014,"Dave Diomedi, Spike Lee",Jimmy Fallon
Heir to the Demon,2014,Wendey Stanzler,Stephen Amell
No Good Deed,2014,Sam Miller,Idris Elba
One Percent,2013,Chris Fisher,Jim Caviezel
Hot Tub Time Machine 2,2014,Steve Pink,Adam Scott
Red Velvet Cupcakes,2013,David Barrett,Simon Baker
"Dude, Where's My Dog?!",2014,Stephen Langford,Nic Birdsall
Madness Ends,2013,Alfonso Gomez-Rejon,Zachary Quinto
Need to Know,2013,Larry Shaw,Nathan Fillion
Blackfish,2013,Gabriela Cowperthwaite,Tilikum
Something New,2013,Pamela Fryman,Josh Radnor
Night Games,2013,David Katzenberg,James Caan
The Golem,2013,Daniel Attias,Liev Schreiber
The Perfect Mark,2013,Stephen Surjik,Jim Caviezel
"Getting Go, the Go Doc Project",2013,Cory Krueckeberg,Tanner Cohen
Transformers: Age of Extinction,2014,Michael Bay,Mark Wahlberg
Non-Stop,2014,Jaume Collet-Serra,Liam Neeson
The Coed and the Zombie Stoner,2014,Glenn Miller,Catherine Annette
The Sacred Taking,2013,Alfonso Gomez-Rejon,Sarah Paulson
Dead Kansas,2013,Aaron K. Carter,Erin Miracle
The Pact II,2014,"Dallas Richard Hallam, Patrick Horvath",Caity Lotz
M Is for Monastery,2013,Jeff Wedding,Jeremy Curtis
Kill House,2013,Larry Teng,Chris O'Donnell
