Title,Year,Rating,Genre,Director,Writer,Language,Country
2:45 PM,2013,TV-14,Drama,Russell Lee Fine,Alon Aranya ,English,USA
1,2013,Not Rated,Sci-Fi,Dennis Iliadis,Bill Gullo ,English,USA
42,2013,PG-13,Biography,Brian Helgeland,Brian Helgeland,English,USA
12/12/2012,2013,R,Documentary,Amir Bar-Lev,N/A,English,USA
#6,2013,TV-14,Crime,Karen Gaviola,Jeff Davis ,English,USA
#realness,2013,TV-14,Comedy,Mike Listo,Rob Thomas ,English,USA
(614) Days of Summer,2013,Not Rated,Documentary,Rich Nyce,N/A,English,USA
...Except When the Bear Is Chasing You,2013,TV-14,Drama,Michael Morris,Frank Ketelaar ,English,USA
0-8-4,2013,TV-PG,Action,David Straiton,Stan Lee ,English,USA
100 Degrees Below Zero,2013,Not Rated,Action,R.D. Braunstein,H. Perry Horton ,English,USA
100 Degrees Below Zero,2013,Not Rated,Action,R.D. Braunstein,H. Perry Horton ,English,USA
12 Rounds 2: Reloaded,2013,R,Action,Roel Reine,David Benullo,English,USA
12 Rounds for the Loaded,2013,Not Rated,Short,Paul M McAlarney,Paul M McAlarney,English,USA
12 Years a Slave,2013,R,Biography,Steve McQueen,John Ridley ,English,"USA, UK"
12 Years a Slave,2013,R,Biography,Steve McQueen,John Ridley ,English,"USA, UK"
"13, 195, 6 und 1",2013,Not Rated,Drama,Terry Rice,N/A,"German, English",USA
"13, 195, 6 und 1",2013,Not Rated,Drama,Terry Rice,N/A,"German, English",USA
"13, 195, 6 und 1",2013,Not Rated,Drama,Terry Rice,N/A,"German, English",USA
13/13/13,2013,Not Rated,Horror,James Cullen Bressack,James Cullen Bressack,English,USA
2 Guns,2013,R,Action,Baltasar Kormakur,Blake Masters ,"English, Spanish",USA
2 Pi R,2013,TV-PG,Action,Richard J. Lewis,Jonathan Nolan ,English,USA
2013 MTV Movie Awards,2013,TV-14,Comedy,Hamish Hamilton,Josh Comers ,English,USA
2013 MTV Movie Awards: Rebel Wilson Interrogation,2013,TV-PG,Comedy,Evan Silver,Noah Levenson,English,USA
21 & Over,2013,R,Comedy,Jon Lucas,Jon Lucas,English,USA
24 Exposures,2013,Not Rated,Crime,Joe Swanberg,Joe Swanberg,English,USA
3 Women,2013,Not Rated,Short,Angelique Marshall,Floyd Marshall Jr.,English,USA
30 Days in May,2013,TV-MA,Documentary,Todd Crites,N/A,English,USA
30 Days in May,2013,TV-MA,Documentary,Todd Crites,N/A,English,USA
30 Days Without an Accident,2013,TV-14,Drama,Greg Nicotero,Frank Darabont ,English,USA
