Title,Year,Rating,Genre,Director,Writer,Language,Country
House of Dust,2013,R,Horror,A.D. Calvo,Alyssa Alexandria ,English,USA
The Midnight Game,2013,R,Horror,A.D. Calvo,A.D. Calvo ,N/A,USA
The Better Angels,2014,PG,Biography,A.J. Edwards,A.J. Edwards,English,USA
The Better Angels,2014,PG,Biography,A.J. Edwards,A.J. Edwards,English,USA
The Necklace,2013,Not Rated,Short,A.R. Ogbu,Prabal Chakraborty ,English,USA
99%: The Occupy Wall Street Collaborative Film,2013,R,Documentary,Aaron Aites,Alexis Savino,English,USA
Dead Kansas,2013,Not Rated,Comedy,Aaron K. Carter,Aaron K. Carter,English,USA
Red X,2014,TV-14,Action,Aaron Lipstadt,Michael Seitzman ,English,USA
Tremors,2013,TV-14,Crime,Aaron Lipstadt,Robert Doherty ,English,USA
Aaron Palermo's Game On: Time to Pull the Strings,2014,Not Rated,Comedy,Aaron Palermo,Aaron Palermo,English,"USA, Hong Kong"
Cult of the Crystal Skull,2014,Not Rated,Action,Aaron R. Thomas,Aaron R. Thomas,English,USA
Deep Dark Canyon,2013,R,Action,Abe Levy,Abe Levy,English,USA
Deep Dark Canyon,2013,R,Action,Abe Levy,Abe Levy,English,USA
Shot All to Hell,2014,TV-MA,Action,Adam Arkin,Graham Yost ,English,USA
Shot All to Hell,2014,TV-MA,Action,Adam Arkin,Graham Yost ,English,USA
Below the Belt,2014,TV-MA,Drama,Adam Arkin,Michelle Ashford ,English,USA
The Revolution Will Not Be Televised,2014,TV-MA,Drama,Adam Arkin,Thomas Maier ,English,USA
Restitution,2014,TV-MA,Action,Adam Arkin,Graham Yost ,English,USA
Armed Response,2013,R,Action,Adam Beamer,Adam Beamer,N/A,USA
Blind Faith,2013,TV-MA,Comedy,Adam Bernstein,Tom Kapinos ,English,USA
Mad Dogs and Englishmen,2013,TV-MA,Comedy,Adam Bernstein,Tom Kapinos ,English,USA
Dead Rock Stars,2013,TV-MA,Comedy,Adam Bernstein,Tom Kapinos ,English,USA
Pilot,2013,TV-14,Comedy,Adam Bernstein,Garry Trudeau ,English,USA
Criminal Hatred,2013,TV-14,Crime,Adam Bernstein,Dick Wolf ,English,USA
The Crocodile's Dilemma,2014,TV-MA,Crime,Adam Bernstein,Noah Hawley,English,USA
The Rooster Prince,2014,TV-MA,Crime,Adam Bernstein,Noah Hawley,English,USA
"One for the Money, Two for the Show",2014,TV-MA,Drama,Adam Bernstein,Michelle Ashford ,English,USA
Brave New World,2013,TV-MA,Drama,Adam Davidson,Michelle Ashford ,English,USA
Patient Zero,2014,TV-14,Action,Adam Davidson,Michael Seitzman ,English,USA
Sacrifice,2014,TV-14,Crime,Adam Davidson,Kevin Williamson ,English,USA
Love Hurts,2013,TV-14,Crime,Adam Davidson,Kevin Williamson ,English,USA
Hookman 2,2013,Not Rated,Comedy,Adam Dutch Durham,Adam Dutch Durham,English,USA
Accused,2013,TV-14,Drama,Adam Kane,Tim Kring ,English,USA
1:00 p.m.-2:00 p.m.,2014,TV-14,Action,Adam Kane,Joel Surnow ,English,"UK, USA"
2:00 p.m.-3:00 p.m.,2014,TV-14,Action,Adam Kane,Joel Surnow ,English,"UK, USA"
The Indispensable Man,2014,TV-14,Adventure,Adam Kane,Roberto Orci ,English,USA
Anchorman 2: The Legend Continues,2013,R,Comedy,Adam McKay,Will Ferrell,English,USA
Anchorman 2: The Legend Continues,2013,R,Comedy,Adam McKay,Will Ferrell,English,USA
Partum,2013,Not Rated,Short,Adam Michardi,Adam Michardi,English,USA
Those Who Can't,2013,TV-MA,Comedy,Adam Nix,Adam Cayton-Holland,English,USA
Coyote,2014,Not Rated,Short,Adam Ray,Adam Ray,Spanish,USA
Fugue and Riffs,2013,TV-MA,Animation,Adam Reed,Adam Reed ,English,USA
The Taking of Deborah Logan,2014,R,Thriller,Adam Robitel,Gavin Heffernan,English,USA
At Middleton,2013,R,Comedy,Adam Rodgers,Glenn German,English,USA
Inspired Guns,2014,PG,Comedy,Adam White,Adam White,English,USA
The Guest,2014,R,Thriller,Adam Wingard,Simon Barrett,English,USA
The Boy with the Rabbit,2013,Not Rated,Short,Adrian I. Garcia,Adrian I. Garcia ,English,USA
Jinn,2014,PG-13,Thriller,Ajmal Zaheer Ahmad,Ajmal Zaheer Ahmad,English,USA
Winter's Tale,2014,PG-13,Drama,Akiva Goldsman,Akiva Goldsman ,English,USA
Charges and Specs,2014,TV-14,Comedy,Akiva Schaffer,Daniel J. Goor ,English,USA
Live Finale,2013,TV-PG,Game-Show,Alan Carter,N/A,English,USA
You Don't Need Feet to Dance,2013,Not Rated,Documentary,Alan Govenar,N/A,English,USA
You Don't Need Feet to Dance,2013,Not Rated,Documentary,Alan Govenar,N/A,English,USA
Keep on Keepin' On,2014,R,Documentary,Alan Hicks,Davis Coombe,English,USA
Criminal Desires,2013,TV-MA,Drama,Alan Kramer,Tina Hawthorne ,English,USA
"First Thing We Do, Let's Kill All the Lawyers",2013,TV-MA,Drama,Alan Poul,Aaron Sorkin ,English,USA
News Night with Will McAvoy,2013,TV-14,Drama,Alan Poul,Aaron Sorkin ,English,USA
Election Night: Part II,2013,TV-14,Drama,Alan Poul,Aaron Sorkin ,English,USA
Thor: The Dark World,2013,PG-13,Action,Alan Taylor,Christopher Yost ,English,USA
Reclaim,2014,R,Drama,Alan White,Luke Davies,English,"China, Malaysia, USA"
Bears,2014,G,Documentary,Alastair Fothergill,N/A,English,USA
Cyborg Nemesis,2014,R,Action,Albert Pyun,Cynthia Curnan,English,USA
Cry Now,2014,R,Romance,Alberto Barboza,Alberto Barboza,English,USA
Dead of the Class,2013,TV-14,Crime,Alec Smight,Anthony E. Zuiker ,English,USA
The Devil and D.B. Russell,2013,TV-14,Crime,Alec Smight,Anthony E. Zuiker ,English,USA
Frame by Frame,2013,TV-14,Crime,Alec Smight,Anthony E. Zuiker ,English,USA
The CSI Effect,2014,TV-14,Crime,Alec Smight,Anthony E. Zuiker ,English,USA
Normal,2013,Not Rated,Short,Alejandra Namerrow Pastor,Alejandra Namerrow Pastor,English,USA
Birdman or (The Unexpected Virtue of Ignorance),2014,R,Comedy,Alejandro Gonzalez Inarritu,Alejandro Gonz�lez I��rritu ,English,USA
Born Psychopath,2013,TV-14,Crime,Alex Chapple,Dick Wolf ,English,USA
A Hell of a Ride,2013,TV-14,Action,Alex Chapple,Michael Brandt ,English,USA
The Armstrong Lie,2013,R,Documentary,Alex Gibney,Alex Gibney,English,USA
We Steal Secrets: The Story of WikiLeaks,2013,R,Documentary,Alex Gibney,Alex Gibney,English,USA
Kissed by Fire,2013,TV-MA,Adventure,Alex Graves,George R.R. Martin ,English,USA
And Now His Watch Is Ended,2013,TV-MA,Adventure,Alex Graves,George R.R. Martin ,English,USA
The Lion and the Rose,2014,TV-MA,Adventure,Alex Graves,George R.R. Martin ,English,USA
Breaker of Chains,2014,TV-MA,Adventure,Alex Graves,George R.R. Martin ,English,USA
The Mountain and the Viper,2014,TV-MA,Adventure,Alex Graves,George R.R. Martin ,English,USA
The Children,2014,TV-MA,Adventure,Alex Graves,George R.R. Martin ,English,USA
Born to Race: Fast Track,2014,PG,Action,Alex Ranarivelo,Steve Sarno ,English,USA
Switch-Up Challenge,2013,TV-PG,Family,Alex Rudzinski,Dave Boone,N/A,USA
Christmas Belle,2013,TV-PG,Drama,Alex Wright,Joany Kane,English,USA
Christmas Belle,2013,TV-PG,Drama,Alex Wright,Joany Kane,English,USA
Eye for an Eye,2013,TV-PG,Crime,Alex Zakrzewski,Christopher Murphey ,English,USA
Quite a Common Fairy,2013,TV-PG,Adventure,Alex Zakrzewski,Edward Kitsis ,English,USA
The Little Rascals Save the Day,2014,PG,Comedy,Alex Zamm,William Robertson,English,USA
Jingle All the Way 2,2014,PG,Family,Alex Zamm,Stephen Mazur,English,USA
The Grecophile,2014,Not Rated,Comedy,Alexander Cherney,Gregory Casino,English,USA
Nebraska,2013,R,Comedy,Alexander Payne,Bob Nelson,"English, Spanish",USA
Vigilante,2013,Not Rated,Short,Alexander Soto,Alexander Soto,English,USA
