id,Title,Year,Rating,Genre,Director,Writer,Cast,Language,Country,Type
1309374,House of Dust,2013,R,"Horror, Thriller",A.D. Calvo,"Alyssa Alexandria (screenplay), A.D. Calvo (story), Nevada Grey (screenplay), Scott Kittredge (additional writing)","Inbar Lavi, Steven Grayhm, Eddie Hassell, Holland Roden",English,USA,movie
2155391,The Midnight Game,2013,R,"Horror, Thriller",A.D. Calvo,"A.D. Calvo (story), Brett A. Calvo (idea), Rick Dahl (screenplay), Rick Dahl (story)","Renee Olstead, Shelby Young, Guy Wilson, Valentina de Angelis",N/A,USA,movie
2316868,The Better Angels,2014,PG,"Biography, Drama, History",A.J. Edwards,A.J. Edwards,"Jason Clarke, Diane Kruger, Brit Marling, Wes Bentley",English,USA,movie
3346872,The Better Angels,2014,PG,"Biography, Drama, History",A.J. Edwards,A.J. Edwards,"Jason Clarke, Diane Kruger, Brit Marling, Wes Bentley",English,USA,movie
2699762,The Necklace,2013,Not Rated,"Short, Drama, Thriller",A.R. Ogbu,"Prabal Chakraborty (story), Prabal Chakraborty (screenplay), A.R. Ogbu (screenplay)","Meredith Riley Stewart, Alexander Stewart, Peter Coleman, Alisa Robinson",English,USA,movie
2201488,99%: The Occupy Wall Street Collaborative Film,2013,R,Documentary,"Aaron Aites, Audrey Ewell, Nina Krstic, Lucian Read",Alexis Savino,"Matt Taibbi, Naomi Wolf, Boots Riley",English,USA,movie
2177336,Dead Kansas,2013,Not Rated,"Comedy, Horror",Aaron K. Carter,"Aaron K. Carter, Nicholas A. DeNicola","Erin Miracle, Alexandria Lightford, Aaron Guerrero, Michael Camp",English,USA,movie
3174344,Red X,2014,TV-14,"Action, Sci-Fi",Aaron Lipstadt,"Michael Seitzman (creator), Aaron Ginsburg, Wade McIntyre, John Dixon (novel)","Josh Holloway, Meghan Ory, John Billingsley, P.J. Byrne",English,USA,episode
3347990,Tremors,2013,TV-14,"Crime, Drama, Mystery",Aaron Lipstadt,"Robert Doherty (created by), Liz Friedman","Jonny Lee Miller, Lucy Liu, Jon Michael Hill, Aidan Quinn",English,USA,episode
2825808,Aaron Palermo's Game On: Time to Pull the Strings,2014,Not Rated,"Comedy, Crime, Romance",Aaron Palermo,"Aaron Palermo, Aaron Palermo","Jay Neville, Billy Buck, Jai Day, Danielle Chupak",English,"USA, Hong Kong",movie
3656294,Cult of the Crystal Skull,2014,Not Rated,Action,Aaron R. Thomas,Aaron R. Thomas,"Jeremiah Arnold, Josh Michael Burton, Chris Cramer, Wade Day",English,USA,movie
1646212,Deep Dark Canyon,2013,R,"Action, Drama, Thriller","Abe Levy, Silver Tree","Abe Levy, Silver Tree","Ted Levine, Spencer Treat Clark, Nick Eversman, Martin Starr",English,USA,movie
1961262,Deep Dark Canyon,2013,R,"Action, Drama, Thriller","Abe Levy, Silver Tree","Abe Levy, Silver Tree","Ted Levine, Spencer Treat Clark, Nick Eversman, Martin Starr",English,USA,movie
3344892,Shot All to Hell,2014,TV-MA,"Action, Crime, Drama",Adam Arkin,"Graham Yost (developed for television by), Chris Provenzano, Elmore Leonard (short story ""Fire in the Hole"")","Timothy Olyphant, Nick Searcy, Jere Burns, Joelle Carter",English,USA,episode
3345366,Shot All to Hell,2014,TV-MA,"Action, Crime, Drama",Adam Arkin,"Graham Yost (developed for television by), Chris Provenzano, Elmore Leonard (short story ""Fire in the Hole"")","Timothy Olyphant, Nick Searcy, Jere Burns, Joelle Carter",English,USA,episode
3376162,Below the Belt,2014,TV-MA,Drama,Adam Arkin,"Michelle Ashford (developed for television by), Thomas Maier (based on the book by), Bathsheba Doran, Eileen Myers","Michael Sheen, Lizzy Caplan, Caitlin FitzGerald, Teddy Sears",English,USA,episode
3376166,The Revolution Will Not Be Televised,2014,TV-MA,Drama,Adam Arkin,"Thomas Maier (based on the book by), Michelle Ashford (developed for television by), Michelle Ashford","Michael Sheen, Lizzy Caplan, Caitlin FitzGerald, Teddy Sears",English,USA,episode
3563852,Restitution,2014,TV-MA,"Action, Crime, Drama",Adam Arkin,"Graham Yost (developed for television by), Fred Golan, Dave Andron, Elmore Leonard (short story ""Fire in the Hole"")","Timothy Olyphant, Nick Searcy, Jere Burns, Joelle Carter",English,USA,episode
2081274,Armed Response,2013,R,"Action, Comedy","Adam Beamer, Evan Beamer","Adam Beamer, Evan Beamer, Craig Hildebrand","Ethan Embry, Michael Gladis, Clea DuVall, Cary Elwes",N/A,USA,movie
2291482,Blind Faith,2013,TV-MA,"Comedy, Drama",Adam Bernstein,"Tom Kapinos (creator), Tom Kapinos","David Duchovny, Natascha McElhone, Pamela Adlon, Madeleine Martin",English,USA,episode
2325024,Mad Dogs and Englishmen,2013,TV-MA,"Comedy, Drama",Adam Bernstein,"Tom Kapinos (creator), Tom Kapinos","David Duchovny, Natascha McElhone, Pamela Adlon, Madeleine Martin",English,USA,episode
2402285,Dead Rock Stars,2013,TV-MA,"Comedy, Drama",Adam Bernstein,"Tom Kapinos (creator), Tom Kapinos","David Duchovny, Natascha McElhone, Pamela Adlon, Madeleine Martin",English,USA,episode
2584038,Pilot,2013,TV-14,"Comedy, Drama",Adam Bernstein,"Garry Trudeau (creator), Garry Trudeau","John Goodman, Clark Johnson, Matt Malloy, Mark Consuelos",English,USA,episode
2628024,Criminal Hatred,2013,TV-14,"Crime, Drama, Mystery",Adam Bernstein,"Dick Wolf (created by), Ed Zuckerman","Mariska Hargitay, Danny Pino, Kelli Giddish, Richard Belzer",English,USA,episode
3097534,The Crocodile's Dilemma,2014,TV-MA,"Crime, Drama",Adam Bernstein,"Noah Hawley, Noah Hawley (created for television by)","Billy Bob Thornton, Allison Tolman, Colin Hanks, Martin Freeman",English,USA,episode
3296848,The Rooster Prince,2014,TV-MA,"Crime, Drama",Adam Bernstein,"Noah Hawley, Noah Hawley (created for television by)","Billy Bob Thornton, Allison Tolman, Colin Hanks, Martin Freeman",English,USA,episode
3376164,"One for the Money, Two for the Show",2014,TV-MA,Drama,Adam Bernstein,"Michelle Ashford (developed for television by), Thomas Maier (based on the book by), Amy Lippman","Michael Sheen, Lizzy Caplan, Caitlin FitzGerald, Teddy Sears",English,USA,episode
2788978,Brave New World,2013,TV-MA,Drama,Adam Davidson,"Michelle Ashford (developer), Thomas Maier (book), Lynnie Greene, Richard Levine","Michael Sheen, Lizzy Caplan, Caitlin FitzGerald, Teddy Sears",English,USA,episode
3174338,Patient Zero,2014,TV-14,"Action, Sci-Fi",Adam Davidson,"Michael Seitzman (creator), Michael Seitzman, John Dixon (novel)","Josh Holloway, Meghan Ory, John Billingsley, P.J. Byrne",English,USA,episode
3325864,Sacrifice,2014,TV-14,"Crime, Drama, Mystery",Adam Davidson,"Kevin Williamson (created by), Scott Reynolds","Kevin Bacon, Shawn Ashmore, Valorie Curry, Sam Underwood",English,USA,episode
2479358,Love Hurts,2013,TV-14,"Crime, Drama, Mystery","Adam Davidson, Marcos Siega","Kevin Williamson (creator), Adam Armus, Nora Kay Foster","Kevin Bacon, Natalie Zea, Annie Parisse, Shawn Ashmore",English,USA,episode
1828200,Hookman 2,2013,Not Rated,"Comedy, Horror","Adam Dutch Durham, Jonathan Young","Adam Dutch Durham, Jonathan Young","Jordy Marsh, Adam Dutch Durham, Jonathan Young, Benjamin Durham",English,USA,movie
2543158,Accused,2013,TV-14,"Drama, Mystery, Sci-Fi",Adam Kane,"Tim Kring (creator), Barry O'Brien","Kiefer Sutherland, David Mazouz, Lukas Haas, Saxon Sharbino",English,USA,episode
2916054,1:00 p.m.-2:00 p.m.,2014,TV-14,"Action, Drama, Mystery",Adam Kane,"Joel Surnow (creator), Robert Cochran (creator), Sang Kyu Kim, Patrick Somerville","Kiefer Sutherland, Yvonne Strahovski, Tate Donovan, Mary Lynn Rajskub",English,"UK, USA",episode
2916056,2:00 p.m.-3:00 p.m.,2014,TV-14,"Action, Drama, Mystery",Adam Kane,"Joel Surnow (creator), Robert Cochran (creator), Patrick Harbinson","Kiefer Sutherland, Yvonne Strahovski, Tate Donovan, Mary Lynn Rajskub",English,"UK, USA",episode
3315612,The Indispensable Man,2014,TV-14,"Adventure, Drama, Fantasy",Adam Kane,"Roberto Orci (created by), Alex Kurtzman (created by), Phillip Iscove (created by), Len Wiseman (created by), Damian Kindler (teleplay), Heather V. Regnier (teleplay), Sam Chalsen (story)","Tom Mison, Nicole Beharie, Orlando Jones, Katia Winter",English,USA,episode
1229340,Anchorman 2: The Legend Continues,2013,R,Comedy,Adam McKay,"Will Ferrell, Adam McKay, Will Ferrell (characters), Adam McKay (characters)","Will Ferrell, Steve Carell, Paul Rudd, David Koechner",English,USA,movie
2330715,Anchorman 2: The Legend Continues,2013,R,Comedy,Adam McKay,"Will Ferrell, Adam McKay, Will Ferrell (characters), Adam McKay (characters)","Will Ferrell, Steve Carell, Paul Rudd, David Koechner",English,USA,movie
3302174,Partum,2013,Not Rated,"Short, Drama",Adam Michardi,Adam Michardi,"Paul Marshall, Adam Michardi",English,USA,movie
2584174,Those Who Can't,2013,TV-MA,Comedy,"Adam Nix, Evan Nix","Adam Cayton-Holland, Andrew Orvedahl, Benjamin Roy","Kyle Kinane, Nikki Glaser, Rory Scovel, Adam Cayton-Holland",English,USA,movie
3092450,Coyote,2014,Not Rated,"Short, Drama, Thriller",Adam Ray,"Adam Ray, Adam Ray","Lou Pimber, Brianna Contreras, Eduardo Venegas, Roberto Diaz",Spanish,USA,movie
2342483,Fugue and Riffs,2013,TV-MA,"Animation, Action, Comedy",Adam Reed,Adam Reed (creator),"H. Jon Benjamin, Judy Greer, Amber Nash, Chris Parnell",English,USA,episode
3387648,The Taking of Deborah Logan,2014,R,Thriller,Adam Robitel,"Gavin Heffernan, Adam Robitel","Jill Larson, Anne Ramsay, Michelle Ang, Ryan Cutrona",English,USA,movie
1483324,At Middleton,2013,R,"Comedy, Romance",Adam Rodgers,"Glenn German, Adam Rodgers","Andy Garcia, Vera Farmiga, Taissa Farmiga, Spencer Lofranco",English,USA,movie
2738706,Inspired Guns,2014,PG,Comedy,Adam White,Adam White,"Shona Kay, Alix Maria Taulbee, Rick Macy, Dashiell Wolf",English,USA,movie
2980592,The Guest,2014,R,Thriller,Adam Wingard,Simon Barrett,"Dan Stevens, Maika Monroe, Brendan Meyer, Sheila Kelley",English,USA,movie
3321784,The Boy with the Rabbit,2013,Not Rated,"Short, Fantasy",Adrian I. Garcia,"Adrian I. Garcia (creator), Adrian I. Garcia (screenplay)","Ethan Marten, Austin Bell, Tiana Marie Lopez, Jacob Briggs",English,USA,movie
1562899,Jinn,2014,PG-13,Thriller,Ajmal Zaheer Ahmad,Ajmal Zaheer Ahmad,"Serinda Swan, Ray Park, Sibylla Deen, William Atherton",English,USA,movie
1837709,Winter's Tale,2014,PG-13,"Drama, Fantasy, Mystery",Akiva Goldsman,"Akiva Goldsman (screenplay), Mark Helprin (novel)","Colin Farrell, Matt Bomer, Lucy Griffiths, Michael Patrick Crane",English,USA,movie
3594572,Charges and Specs,2014,TV-14,"Comedy, Crime",Akiva Schaffer,"Daniel J. Goor (creator), Michael Schur (creator), Gil Ozeri, Gabe Liedman, Gil Ozeri (executive story editor)","Andy Samberg, Stephanie Beatriz, Terry Crews, Melissa Fumero",English,USA,episode
2768376,Live Finale,2013,TV-PG,"Game-Show, Reality-TV",Alan Carter,N/A,"Alison Sweeney, Bob Harper, Dolvett Quince, Jillian Michaels",English,USA,episode
2734552,You Don't Need Feet to Dance,2013,Not Rated,"Documentary, Biography, Drama",Alan Govenar,N/A,Sidiki Conde,English,USA,movie
3549324,You Don't Need Feet to Dance,2013,Not Rated,"Documentary, Biography, Drama",Alan Govenar,N/A,Sidiki Conde,English,USA,movie
2674040,Keep on Keepin' On,2014,R,Documentary,Alan Hicks,"Davis Coombe, Alan Hicks","Candy, Terri Lyne Carrington, Quincy Cavers, Bill Cosby",English,USA,movie
3391306,Criminal Desires,2013,TV-MA,Drama,Alan Kramer,Tina Hawthorne (original screenplay),"Erika Jordan, Lily Labeau, Bobbie Miller, Ryan Driller",English,USA,movie
2288440,"First Thing We Do, Let's Kill All the Lawyers",2013,TV-MA,Drama,Alan Poul,"Aaron Sorkin (created by), Aaron Sorkin (teleplay), Ian Reichbach (story), Aaron Sorkin (story), Ian Reichbach (executive story editor), Brendan Fehily (story), Michael Gunn (story), Corinne Kingsbury (story), Dana Ledoux Miller (story), Camilla Blackett (staff writer), Matthew Lopez (staff writer), Adam R. Perlman (staff writer)","Jeff Daniels, Emily Mortimer, John Gallagher Jr., Alison Pill",English,USA,episode
2978644,News Night with Will McAvoy,2013,TV-14,Drama,Alan Poul,"Aaron Sorkin (created by), Aaron Sorkin, Corinne Kingsbury (story), Brendan Fehily (story), Ian Reichbach (executive story editor), Camilla Blackett (staff writer), Michael Gunn (story), Dana Ledoux Miller (story), Adam R. Perlman (staff writer), Elizabeth Peterson (staff writer), Matthew Lopez (staff writer)","Jeff Daniels, Emily Mortimer, John Gallagher Jr., Alison Pill",English,USA,episode
3067866,Election Night: Part II,2013,TV-14,Drama,Alan Poul,"Aaron Sorkin (created by), Aaron Sorkin, Corinne Kingsbury (story), Brendan Fehily (story), Ian Reichbach (executive story editor), Camilla Blackett (staff writer), Michael Gunn (story), Dana Ledoux Miller (story), Adam R. Perlman (staff writer), Elizabeth Peterson (staff writer), Matthew Lopez (staff writer)","Jeff Daniels, Emily Mortimer, John Gallagher Jr., Alison Pill",English,USA,episode
1981115,Thor: The Dark World,2013,PG-13,"Action, Adventure, Fantasy",Alan Taylor,"Christopher Yost (screenplay), Christopher Markus (screenplay), Stephen McFeely (screenplay), Don Payne (story), Robert Rodat (story), Stan Lee (comic book), Larry Lieber (comic book), Jack Kirby (comic book)","Chris Hemsworth, Natalie Portman, Tom Hiddleston, Anthony Hopkins",English,USA,movie
3202890,Reclaim,2014,R,"Drama, Thriller",Alan White,"Luke Davies, Carmine Gaeta","John Cusack, Ryan Phillippe, Rachelle Lefevre, Jacki Weaver",English,"China, Malaysia, USA",movie
2458776,Bears,2014,G,Documentary,"Alastair Fothergill, Keith Scholey",N/A,John C. Reilly,English,USA,movie
2075291,Cyborg Nemesis,2014,R,"Action, Sci-Fi",Albert Pyun,Cynthia Curnan,"Dina Meyer, Steven Seagal, Sasha Mitchell, Olivier Gruner",English,USA,movie
1597070,Cry Now,2014,R,Romance,Alberto Barboza,Alberto Barboza,"Miguel Angel Caballero, Iliana Carter, Mina Olivera, Alex Meraz",English,USA,movie
2704632,Dead of the Class,2013,TV-14,"Crime, Drama, Mystery",Alec Smight,"Anthony E. Zuiker (created by), Tom Mularz","Ted Danson, Elisabeth Shue, George Eads, Jorja Fox",English,USA,episode
3096182,The Devil and D.B. Russell,2013,TV-14,"Crime, Drama, Mystery",Alec Smight,"Anthony E. Zuiker (created by), Christopher Barbour (teleplay), Don McGill (teleplay), Christopher Barbour (story)","Ted Danson, Elisabeth Shue, George Eads, Jorja Fox",English,USA,episode
3213418,Frame by Frame,2013,TV-14,"Crime, Drama, Mystery",Alec Smight,"Anthony E. Zuiker (created by), Gavin Harris","Ted Danson, Elisabeth Shue, George Eads, Jorja Fox",English,USA,episode
3895530,The CSI Effect,2014,TV-14,"Crime, Drama, Mystery",Alec Smight,"Anthony E. Zuiker (created by), Christopher Barbour, Don McGill","Ted Danson, Elisabeth Shue, George Eads, Jorja Fox",English,USA,episode
3095234,Normal,2013,Not Rated,Short,Alejandra Namerrow Pastor,Alejandra Namerrow Pastor,"Garrett Paknis, Larry Bou Safi, John Jenne, Syan Hezri",English,USA,movie
2562232,Birdman or (The Unexpected Virtue of Ignorance),2014,R,"Comedy, Drama",Alejandro Gonzalez Inarritu,"Alejandro Gonz�lez I��rritu (screenplay), Nicol�s Giacobone (screenplay), Alexander Dinelaris (screenplay), Armando Bo (screenplay)","Michael Keaton, Emma Stone, Kenny Chin, Jamahl Garrison-Lowe",English,USA,movie
2760466,Born Psychopath,2013,TV-14,"Crime, Drama, Mystery",Alex Chapple,"Dick Wolf (created by), Julie Martin, Warren Leight","Mariska Hargitay, Danny Pino, Kelli Giddish, Richard Belzer",English,USA,episode
2801900,A Hell of a Ride,2013,TV-14,"Action, Drama",Alex Chapple,"Michael Brandt (created by), Derek Haas (created by), Andrea Newman, Michael Gilvary","Jesse Spencer, Taylor Kinney, Monica Raymund, Lauren German",English,USA,episode
1638364,The Armstrong Lie,2013,R,Documentary,Alex Gibney,Alex Gibney,"Reed Albergotti, Betsy Andreu, Frankie Andreu, Lance Armstrong",English,USA,movie
1824254,We Steal Secrets: The Story of WikiLeaks,2013,R,Documentary,Alex Gibney,Alex Gibney,"Julian Assange, Chelsea Manning, John 'Fuzface' McMahon, Robert Manne",English,USA,movie
2178788,Kissed by Fire,2013,TV-MA,"Adventure, Drama, Fantasy",Alex Graves,"George R.R. Martin (""A Song of Ice and Fire"" by), David Benioff (created by), D.B. Weiss (created by), Bryan Cogman (written for television by)","Peter Dinklage, Nikolaj Coster-Waldau, Lena Headey, Emilia Clarke",English,USA,episode
2178798,And Now His Watch Is Ended,2013,TV-MA,"Adventure, Drama, Fantasy",Alex Graves,"George R.R. Martin (""A Song of Ice and Fire"" by), David Benioff (created by), D.B. Weiss (created by), David Benioff (written for television by), D.B. Weiss (written for television by)","Peter Dinklage, Nikolaj Coster-Waldau, Lena Headey, Emilia Clarke",English,USA,episode
2832378,The Lion and the Rose,2014,TV-MA,"Adventure, Drama, Fantasy",Alex Graves,"George R.R. Martin (""A Song of Ice and Fire"" by), David Benioff (created by), D.B. Weiss (created by), George R.R. Martin (written for television by)","Peter Dinklage, Nikolaj Coster-Waldau, Lena Headey, Charles Dance",English,USA,episode
2972426,Breaker of Chains,2014,TV-MA,"Adventure, Drama, Fantasy",Alex Graves,"George R.R. Martin (""A Song of Ice and Fire"" by), David Benioff (created by), D.B. Weiss (created by), David Benioff (written for television by), D.B. Weiss (written for television by)","Peter Dinklage, Nikolaj Coster-Waldau, Lena Headey, Emilia Clarke",English,USA,episode
3060782,The Mountain and the Viper,2014,TV-MA,"Adventure, Drama, Fantasy",Alex Graves,"George R.R. Martin (""A Song of Ice and Fire"" by), David Benioff (created by), D.B. Weiss (created by), David Benioff (written for television by), D.B. Weiss (written for television by)","Peter Dinklage, Nikolaj Coster-Waldau, Lena Headey, Emilia Clarke",English,USA,episode
3060860,The Children,2014,TV-MA,"Adventure, Drama, Fantasy",Alex Graves,"George R.R. Martin (""A Song of Ice and Fire"" by), David Benioff (created by), D.B. Weiss (created by), David Benioff (written for television by), D.B. Weiss (written for television by)","Peter Dinklage, Nikolaj Coster-Waldau, Lena Headey, Emilia Clarke",English,USA,episode
2547210,Born to Race: Fast Track,2014,PG,Action,Alex Ranarivelo,"Steve Sarno (screenplay), Steve Sarno (story), Alex Ranarivelo (story), Ali Afshar (story), George Shamieh (story)","Brett Davern, Beau Mirchoff, Bill Sage, Sharon Lawrence",English,USA,movie
3207894,Switch-Up Challenge,2013,TV-PG,"Family, Game-Show, Music",Alex Rudzinski,"Dave Boone, Christine Castanon","Tom Bergeron, Brooke Burke-Charvet, Carrie Ann Inaba, Len Goodman",N/A,USA,episode
3068466,Christmas Belle,2013,TV-PG,"Drama, Family, Romance",Alex Wright,Joany Kane,"Haylie Duff, Nicholas Gonzalez, Mark Famiglietti, C. Thomas Howell",English,USA,movie
3409460,Christmas Belle,2013,TV-PG,"Drama, Family, Romance",Alex Wright,Joany Kane,"Haylie Duff, Nicholas Gonzalez, Mark Famiglietti, C. Thomas Howell",English,USA,movie
2459792,Eye for an Eye,2013,TV-PG,"Crime, Drama",Alex Zakrzewski,"Christopher Murphey (creator), Corey D. Miller","Dana Delany, Jeri Ryan, Mark Valley, Geoffrey Arend",English,USA,episode
3126292,Quite a Common Fairy,2013,TV-PG,"Adventure, Fantasy, Romance",Alex Zakrzewski,"Edward Kitsis (created by), Adam Horowitz (created by), Jane Espenson","Ginnifer Goodwin, Jennifer Morrison, Lana Parrilla, Josh Dallas",English,USA,episode
2490004,The Little Rascals Save the Day,2014,PG,"Comedy, Family",Alex Zamm,"William Robertson, Alex Zamm","Doris Roberts, Greg Germann, Lex Medlin, Valerie Azlynn",English,USA,movie
3486392,Jingle All the Way 2,2014,PG,Family,Alex Zamm,"Stephen Mazur, William Robertson (contributing writer), Alex Zamm (contributing writer)","Larry the Cable Guy, Brian Stepanek, Kennedi Clements, Lindsay Maxwell",English,USA,movie
3668964,The Grecophile,2014,Not Rated,Comedy,Alexander Cherney,"Gregory Casino, Alexander Cherney","Michael Medori, Isabella Curti, Douglas Goodhart, Zurab Match",English,USA,movie
1821549,Nebraska,2013,R,"Comedy, Drama",Alexander Payne,Bob Nelson,"Bruce Dern, Will Forte, June Squibb, Bob Odenkirk","English, Spanish",USA,movie
3399872,Viilante,2013,Not Rated,Short,Alexander Soto,Alexander Soto,"Rafael Carbonell, Luis Colon, Stephanie G. Jolly, Krystalanna Cruz",English,USA,movie
3400156,Vigilante,2013,Not Rated,Short,Alexander Soto,Alexander Soto,"Rafael Carbonell, Luis Colon, Stephanie G. Jolly, Krystalanna Cruz",English,USA,movie
2457138,Battledogs,2013,TV-14,"Action, Horror, Sci-Fi",Alexander Yellen,Shane Van Dyke,"Craig Sheffer, Dennis Haysbert, Kate Vernon, Ariana Richards",English,USA,movie
1555440,Girltrash: All Night Long,2014,Not Rated,"Comedy, Crime, Drama",Alexandra Kondracke,Angela Robinson,"Lisa Rieffel, Erin Kelly, Michelle Lombardo, Johnny Dunn",English,USA,movie
1528071,Horns,2013,R,"Drama, Fantasy, Horror",Alexandre Aja,"Keith Bunin (screenplay), Joe Hill (novel)","Juno Temple, Daniel Radcliffe, Heather Graham, Sabrina Carpenter",English,"USA, Canada",movie
1454468,Gravity,2013,PG-13,"Sci-Fi, Thriller",Alfonso Cuaron,"Alfonso Cuar�n, Jon�s Cuar�n","Sandra Bullock, George Clooney, Ed Harris, Orto Ignatiussen","English, Greenlandic","USA, UK",movie
2912480,Pilot,2014,TV-14,"Drama, Fantasy",Alfonso Cuaron,"Alfonso Cuar�n (created by), Mark Friedman (created by), Alfonso Cuar�n, Mark Friedman","Jake McLaughlin, Johnny Sequoyah, Jamie Chung, Sienna Guillory",English,USA,episode
2381630,Lie with Me,2013,TV-14,"Comedy, Romance",Alfonso Gomez-Rejon,"Candace Bushnell (novels), Amy Harris (developer)","AnnaSophia Robb, Austin Butler, Ellen Wong, Katie Findlay",English,USA,episode
2471106,Spilt Milk,2013,TV-MA,"Drama, Fantasy, Horror",Alfonso Gomez-Rejon,"Ryan Murphy (created by), Brad Falchuk (created by), Brad Falchuk","Zachary Quinto, Joseph Fiennes, Sarah Paulson, Evan Peters",English,USA,episode
2471114,Madness Ends,2013,TV-MA,"Drama, Fantasy, Horror",Alfonso Gomez-Rejon,"Ryan Murphy (created by), Brad Falchuk (created by), Tim Minear","Zachary Quinto, Joseph Fiennes, Sarah Paulson, Evan Peters",English,USA,episode
2516452,Bitchcraft,2013,TV-MA,"Drama, Fantasy, Horror",Alfonso Gomez-Rejon,"Ryan Murphy (created by), Brad Falchuk (created by), Ryan Murphy, Brad Falchuk","Sarah Paulson, Taissa Farmiga, Frances Conroy, Evan Peters",English,USA,episode
2561546,The Town That Dreaded Sundown,2014,R,"Horror, Thriller",Alfonso Gomez-Rejon,"Roberto Aguirre-Sacasa (screenplay), Earl E. Smith","Addison Timlin, Veronica Cartwright, Anthony Anderson, Travis Tope",English,USA,movie
3175804,The Replacements,2013,TV-MA,"Drama, Fantasy, Horror",Alfonso Gomez-Rejon,"Ryan Murphy (created by), Brad Falchuk (created by), James Wong","Sarah Paulson, Taissa Farmiga, Frances Conroy, Evan Peters",English,USA,episode
3223262,The Sacred Taking,2013,TV-MA,"Drama, Fantasy, Horror",Alfonso Gomez-Rejon,"Ryan Murphy (created by), Brad Falchuk (created by), Ryan Murphy","Sarah Paulson, Taissa Farmiga, Frances Conroy, Evan Peters",English,USA,episode
3223264,The Magical Delights of Stevie Nicks,2014,TV-MA,"Drama, Fantasy, Horror",Alfonso Gomez-Rejon,"Ryan Murphy (created by), Brad Falchuk (created by), James Wong","Sarah Paulson, Taissa Farmiga, Frances Conroy, Evan Peters",English,USA,episode
3223270,Go to Hell,2014,TV-MA,"Drama, Fantasy, Horror",Alfonso Gomez-Rejon,"Ryan Murphy (created by), Brad Falchuk (created by), Jessica Sharzer","Sarah Paulson, Taissa Farmiga, Frances Conroy, Evan Peters",English,USA,episode
3223272,The Seven Wonders,2014,TV-MA,"Drama, Fantasy, Horror",Alfonso Gomez-Rejon,"Ryan Murphy (created by), Brad Falchuk (created by), Douglas Petrie","Sarah Paulson, Taissa Farmiga, Frances Conroy, Evan Peters",English,USA,episode
2178812,The Climb,2013,TV-MA,"Adventure, Drama, Fantasy",Alik Sakharov,"George R.R. Martin (""A Song of Ice and Fire"" by), David Benioff (created by), D.B. Weiss (created by), David Benioff (written for television by), D.B. Weiss (written for television by)","Peter Dinklage, Lena Headey, Nikolaj Coster-Waldau, Kit Harington",English,USA,episode
