title,year,director,rating
The Revolution Will Not Be Televised,2014,Adam Arkin,TV-MA
Restitution,2014,Adam Arkin,TV-MA
Criminal Hatred,2013,Adam Bernstein,TV-14
Criminal Hatred,2013,Adam Bernstein,TV-14
Criminal Hatred,2013,Adam Bernstein,TV-14
Pilot,2013,Adam Bernstein,TV-14
Pilot,2013,Adam Bernstein,TV-14
Pilot,2013,Adam Bernstein,TV-14
Blind Faith,2013,Adam Bernstein,TV-MA
Mad Dogs and Englishmen,2013,Adam Bernstein,TV-MA
Patient Zero,2014,Adam Davidson,TV-14
Patient Zero,2014,Adam Davidson,TV-14
Sacrifice,2014,Adam Davidson,TV-14
Sacrifice,2014,Adam Davidson,TV-14
At Middleton,2013,Adam Rodgers,R
Inspired Guns,2014,Adam White,PG
The Guest,2014,Adam Wingard,R
The Boy with the Rabbit,2013,Adrian I. Garcia,Not Rated
Jinn,2014,Ajmal Zaheer Ahmad,PG-13
Winter's Tale,2014,Akiva Goldsman,PG-13
News Night with Will McAvoy,2013,Alan Poul,TV-14
Election Night: Part II,2013,Alan Poul,TV-14
Hunt,2014,Alan Poul,TV-14
Thor: The Dark World,2013,Alan Taylor,PG-13
Cyborg Nemesis,2014,Albert Pyun,R
Still,2013,Albert Pyun,R
Dead of the Class,2013,Alec Smight,TV-14
Dead of the Class,2013,Alec Smight,TV-14
Frame by Frame,2013,Alec Smight,TV-14
Frame by Frame,2013,Alec Smight,TV-14
The CSI Effect,2014,Alec Smight,TV-14
The CSI Effect,2014,Alec Smight,TV-14
The CSI Effect,2014,Alec Smight,TV-14
Normal,2013,Alejandra Namerrow Pastor,Not Rated
Birdman or (The Unexpected Virtue of Ignorance),2014,Alejandro Gonz�lez I��rritu,R
Born Psychopath,2013,Alex Chapple,TV-14
The Mountain and the Viper,2014,Alex Graves,TV-MA
The Children,2014,Alex Graves,TV-MA
Born to Race: Fast Track,2014,Alex Ranarivelo,PG
Grown Man Business,2013,Allan Zuniga,Not Rated
The Bag or the Bat,2013,Allen Coulter,TV-MA
A Mouth Is a Mouth,2013,Allen Coulter,TV-MA
Acres of Diamonds,2013,Allen Coulter,TV-MA
Pilot,2014,Andrew Fleming,TV-14
Pilot,2014,Andrew Gurland,TV-MA
Looking Glass,2014,Andrew Haigh,TV-MA
Looking Glass,2014,Andrew Haigh,TV-MA
