imdbID,Title,Year,Rating,Runtime,Genre,Released,Director,Writer,Cast,Metacritic,imdbRating,imdbVotes,Poster,Plot,Language,Country,Awards,lastUpdated
tt0376136,"The Rum Diary",2011,R,"120 min","Comedy, Drama",2011-10-28,"Bruce Robinson","Bruce Robinson (screenplay), Hunter S. Thompson (novel)","Johnny Depp, Aaron Eckhart, Michael Rispoli, Amber Heard",56,6.2,75,http://ia.media-imdb.com/images/M/MV5BMTM5ODA4MjYxM15BMl5BanBnXkFtZTcwMTM3NTE5Ng@@._V1_SX300.jpg,"American journalist Paul Kemp takes on a freelance job in Puerto Rico for a local newspaper during the 1960s and struggles to find a balance between island culture and the expatriates who live there.","English, Spanish, German",USA,"2 wins & 4 nominations.","2014-10-26 00:42:54"
tt0377981,"Gnomeo & Juliet",2011,G,"84 min","Animation, Comedy, Family",2011-02-11,"Kelly Asbury","Rob Sprackling (story), John R. Smith (story), Andy Riley (story), Kevin Cecil (story), Kelly Asbury (story), Steve Hamilton Shaw (story), Andy Riley (screenplay), Kevin Cecil (screenplay), Mark Burton (screenplay), Emily Cook (screenplay), Kathy Greenberg (screenplay), Steve Hamilton Shaw (screenplay), Kelly Asbury (screenplay), Rob Sprackling (original screenplay), John R. Smith (original screenplay), William Shakespeare (play)","James McAvoy, Emily Blunt, Ashley Jensen, Michael Caine",53,6.0,36,http://ia.media-imdb.com/images/M/MV5BMjAyNDM2MDA2NF5BMl5BanBnXkFtZTcwOTMxMDAxNA@@._V1_SX300.jpg,"The neighboring gardens of Montague and Capulet are at war, but the gnomes, Gnomeo and Juliet, are in love.",English,"UK, USA","Nominated for 1 Golden Globe. Another 1 win & 8 nominations.","2014-11-04 00:07:05"
tt0409847,"Cowboys & Aliens",2011,PG-13,"119 min","Action, Sci-Fi, Thriller",2011-07-29,"Jon Favreau","Roberto Orci (screenplay), Alex Kurtzman (screenplay), Damon Lindelof (screenplay), Mark Fergus (screenplay), Hawk Ostby (screenplay), Mark Fergus (screen story), Hawk Ostby (screen story), Steve Oedekerk (screen story), Scott Mitchell Rosenberg (Platinum Studios comic book)","Daniel Craig, Abigail Spencer, Buck Taylor, Matthew Taylor",50,6.1,145,http://ia.media-imdb.com/images/M/MV5BMTM1MzkyNzQ3OV5BMl5BanBnXkFtZTcwMDk1NTg2NQ@@._V1_SX300.jpg,"A spaceship arrives in Arizona, 1873, to take over the Earth, starting with the Wild West region. A posse of cowboys and natives are all that stand in their way.","English, Apache languages",USA,"16 nominations.","2014-10-25 00:32:58"
tt0433035,"Real Steel",2011,PG-13,"127 min","Action, Drama, Sci-Fi",2011-10-07,"Shawn Levy","John Gatins (screenplay), Dan Gilroy (story), Jeremy Leven (story), Richard Matheson (short story 'Steel')","Hugh Jackman, Dakota Goyo, Evangeline Lilly, Anthony Mackie",56,7.1,213,http://ia.media-imdb.com/images/M/MV5BMjEzMzEzNjg0N15BMl5BanBnXkFtZTcwMzg4NDk0Ng@@._V1_SX300.jpg,"Set in the near future, where robot boxing is a top sport, a struggling promoter feels he's found a champion in a discarded robot. During his hopeful rise to the top, he discovers he has an 11-year-old son who wants to know his father.",English,"USA, India","Nominated for 1 Oscar. Another 2 wins & 5 nominations.","2014-10-25 00:18:55"
tt0448694,"Puss in Boots",2011,PG,"90 min","Animation, Adventure, Comedy",2011-10-28,"Chris Miller","Charles Perrault (character), Tom Wheeler (screenplay), Brian Lynch (story), William Davies (story), Tom Wheeler (story)","Antonio Banderas, Salma Hayek, Zach Galifianakis, Billy Bob Thornton",65,6.7,93,http://ia.media-imdb.com/images/M/MV5BMTMxMTU5MTY4MV5BMl5BanBnXkFtZTcwNzgyNjg2NQ@@._V1_SX300.jpg,"The events leading up to the sword fighting cat's meeting with Shrek and his friends.","English, Spanish",USA,"Nominated for 1 Oscar. Another 4 wins & 35 nominations.","2014-10-16 00:01:40"
tt0451154,"The Passing",2011,R,"92 min",Horror,2011-05-20,"John Harwood","Paul Clinco, John Harwood","Crystal Day, Elizabeth Ann Bennett, Jason Hamer, Sam Upton",N/A,3.5,159,http://ia.media-imdb.com/images/M/MV5BMTcwMzY5MjY5OV5BMl5BanBnXkFtZTcwNjQ1NjEzMQ@@._V1_SX300.jpg,"The three Naibert children, in their teens and early twenties, inherit a vast estate from their grandmother Rebecca. But unknown to them, the family inheritance has passed from grandmother ...",English,USA,"5 wins.","2014-10-25 00:01:13"
tt0458339,"Captain America: The First Avenger",2011,PG-13,"124 min","Action, Adventure, Sci-Fi",2011-07-22,"Joe Johnston","Christopher Markus (screenplay), Stephen McFeely (screenplay), Joe Simon (comic books), Jack Kirby (comic books)","Chris Evans, Hayley Atwell, Sebastian Stan, Tommy Lee Jones",66,6.8,335,http://ia.media-imdb.com/images/M/MV5BMTYzOTc2NzU3N15BMl5BanBnXkFtZTcwNjY3MDE3NQ@@._V1_SX300.jpg,"Steve Rogers, a rejected military soldier transforms into Captain America after taking a dose of a 'Super-Soldier serum'. But being Captain America comes at a price if he attempts to take down a war monger and a terrorist organization.","English, Norwegian, French",USA,"3 wins & 40 nominations.","2014-10-17 00:11:05"
tt0466893,Margaret,2011,R,"150 min",Drama,2012-06-01,"Kenneth Lonergan","Kenneth Lonergan","Anna Paquin, J. Smith-Cameron, Mark Ruffalo, Jeannie Berlin",61,6.4,10,http://ia.media-imdb.com/images/M/MV5BMjA1MDQzMjcxN15BMl5BanBnXkFtZTcwNTg3MTI1Ng@@._V1_SX300.jpg,"A young woman witnesses a bus accident, and is caught up in the aftermath, where the question of whether or not it was intentional affects many people's lives.",English,USA,"12 wins & 6 nominations.","2014-10-30 00:18:59"
tt0471042,"Tower Heist",2011,PG-13,"104 min","Action, Comedy, Crime",2011-11-04,"Brett Ratner","Ted Griffin (screenplay), Jeff Nathanson (screenplay), Adam Cooper (story), Bill Collage (story), Ted Griffin (story)","Ben Stiller, Eddie Murphy, Casey Affleck, Alan Alda",59,6.2,95,http://ia.media-imdb.com/images/M/MV5BMTY1NDQxMTcwOV5BMl5BanBnXkFtZTcwNzMzNTExNg@@._V1_SX300.jpg,"When a group of hard working guys find out they've fallen victim to a wealthy business man's Ponzi scheme, they conspire to rob his high-rise residence.","English, Spanish, Chinese",USA,"2 nominations.","2014-10-29 00:17:34"
tt0472181,"The Smurfs",2011,PG,"103 min","Animation, Adventure, Comedy",2011-07-29,"Raja Gosnell","J. David Stem (screenplay), David N. Weiss (screenplay), Jay Scherick (screenplay), David Ronn (screenplay), J. David Stem (story), David N. Weiss (story), Peyo (characters)","Hank Azaria, Neil Patrick Harris, Jayma Mays, Sofï¿½a Vergara",30,5.5,56,http://ia.media-imdb.com/images/M/MV5BMTY4MDc2NzQ4MF5BMl5BanBnXkFtZTcwNDc5OTU2NA@@._V1_SX300.jpg,"When the evil wizard Gargamel chases the tiny blue Smurfs out of their village, they tumble from their magical world into New York City.",English,USA,"2 wins & 6 nominations.","2014-10-28 00:13:24"
tt0472399,"The Mechanic",2011,R,"93 min","Action, Crime, Thriller",2011-01-28,"Simon West","Richard Wenk (screenplay), Lewis John Carlino (screenplay), Lewis John Carlino (story)","Jason Statham, Ben Foster, Tony Goldwyn, Donald Sutherland",49,6.5,97,http://ia.media-imdb.com/images/M/MV5BMjEyMjk1NjI1M15BMl5BanBnXkFtZTcwODcyNjAxNA@@._V1_SX300.jpg,"Follows an elite hit man as he teaches his trade to an apprentice who has a connection to one of his previous victims.",English,USA,"1 nomination.","2014-10-28 00:23:04"
tt0477302,"Extremely Loud & Incredibly Close",2011,PG-13,"129 min","Adventure, Drama, Mystery",2012-01-20,"Stephen Daldry","Eric Roth (screenplay), Jonathan Safran Foer (novel)","Tom Hanks, Thomas Horn, Sandra Bullock, Zoe Caldwell",46,6.9,67,http://ia.media-imdb.com/images/M/MV5BMTUxNzYwMTE3NV5BMl5BanBnXkFtZTcwMDY2NzU4Ng@@._V1_SX300.jpg,"A nine-year-old amateur inventor, Francophile, and pacifist searches New York City for the lock that matches a mysterious key left behind by his father, who died in the World Trade Center on September 11, 2001.",English,USA,"Nominated for 2 Oscars. Another 10 wins & 17 nominations.","2014-10-10 00:04:47"
tt0478304,"The Tree of Life",2011,PG-13,"139 min","Drama, Fantasy",2011-05-17,"Terrence Malick","Terrence Malick","Brad Pitt, Sean Penn, Jessica Chastain, Hunter McCracken",85,6.7,115,http://ia.media-imdb.com/images/M/MV5BNTgyNTQzMDEwNV5BMl5BanBnXkFtZTcwMTQxNjI4NA@@._V1_SX300.jpg,"The story of a family in Waco, Texas in 1956. The eldest son witnesses the loss of innocence and struggles with his parents' conflicting teachings.",English,USA,"Nominated for 3 Oscars. Another 94 wins & 75 nominations.","2014-10-25 00:01:23"
tt0479997,"Season of the Witch",2011,PG-13,"95 min","Action, Adventure, Fantasy",2011-01-07,"Dominic Sena","Bragi F. Schut","Nicolas Cage, Ron Perlman, Stephen Campbell Moore, Stephen Graham",28,5.4,61,http://ia.media-imdb.com/images/M/MV5BMzc3MjYxNzg2N15BMl5BanBnXkFtZTcwNzQyMTkwNA@@._V1_SX300.jpg,"14th-century knights transport a suspected witch to a monastery, where monks deduce her powers could be the source of the Black Plague.","English, Latin",USA,"2 nominations.","2014-03-15 12:02:40"
tt0480239,"Atlas Shrugged: Part I",2011,PG-13,"97 min","Drama, Mystery, Sci-Fi",2011-04-15,"Paul Johansson","Ayn Rand (novel), John Aglialoro (screenplay), Brian Patrick O'Toole (screenplay)","Taylor Schilling, Grant Bowler, Matthew Marsden, Edi Gathegi",28,5.8,10,http://ia.media-imdb.com/images/M/MV5BMTM3NDc2NjE1NV5BMl5BanBnXkFtZTcwNTgyOTM5NA@@._V1_SX300.jpg,"Railroad executive Dagny Taggart and steel mogul Henry Rearden form an alliance to fight the increasingly authoritarian government of the United States.",English,USA,N/A,"2014-10-25 00:14:52"
tt0480687,"Hall Pass",2011,R,"105 min","Comedy, Romance",2011-02-25,"Bobby Farrelly, Peter Farrelly","Pete Jones (screenplay), Peter Farrelly (screenplay), Kevin Barnett (screenplay), Bobby Farrelly (screenplay), Pete Jones (story)","Owen Wilson, Jason Sudeikis, Jenna Fischer, Christina Applegate",45,5.9,91,http://ia.media-imdb.com/images/M/MV5BMTc4MzIxNTYwNl5BMl5BanBnXkFtZTcwNzE4MjE0NA@@._V1_SX300.jpg,"Rick and Fred, two husbands who are having difficulty in their marriages, are given a Hall Pass by their wives: for one week, they can do whatever they want.",English,USA,N/A,"2014-10-25 00:05:54"
