SiteNumber,SiteCode,Type,LocationID,Region,City,FacilityName,Ownership,Use,Owner,OwnerAddress,OwnerCityStateZIP,OwnerPhone,Manager,ManagerPhone
50009,A,AIRPORT,'ADK,ALEUTIAN ISLANDS,ADAK ISLAND,ADAK,PUBLIC,PUBLIC,ALASKA DOT&PF SOUTHCOAST REGION,PO BOX 196900,"ANCHORAGE, AK 99519",907-269-0751,INNOCENT DUSHKIN,907-592-8026
50016.1,A,AIRPORT,'AKK,KODIAK ISLAND,AKHIOK,AKHIOK,PUBLIC,PUBLIC,ALASKA DOT&PF SOUTHCOAST REGION,PO BOX 196900,"ANCHORAGE, AK 99519",907-269-0760,ROBERT GREENE,907-487-4952
50017,A,AIRPORT,'Z13,BETHEL,AKIACHAK,AKIACHAK,PUBLIC,PUBLIC,ALASKA DOT&PF CENTRAL REGION,PO BOX 196900,"ANCHORAGE, AK 99519",907-269-0770,LAWRENCE DAVIS,907-543-2498
50017.1,C,SEAPLANE BASE,'KKI,BETHEL,AKIACHAK,AKIACHAK,PUBLIC,PUBLIC,PUBLIC DOMAIN,,,,,
50020,A,AIRPORT,'AKI,BETHEL,AKIAK,AKIAK,PUBLIC,PUBLIC,ALASKA DOT&PF CENTRAL REGION,PO BOX 196900,"ANCHORAGE, AK 99519",907-269-0760,LAWERENCE DAVIS,907-543-2498
50022,C,SEAPLANE BASE,'KQA,ALEUTIAN ISLANDS,AKUTAN,AKUTAN,PUBLIC,PUBLIC,CITY OF AKUTAN,PO BOX 109,"AKUTAN, AK 99553",907-698-2228,JOE BERESKIN,907-698-2241
50022.1,A,AIRPORT,'7AK,ALEUTIAN ISLANDS,AKUTAN,AKUTAN,PUBLIC,PUBLIC,ALASKA DOT&PF SOUTHCOAST REGION,PO BOX 112506,"JUNEAU, AK 99811",907-465-1779,DALE RUCKMAN,907-581-1786
50024.1,A,AIRPORT,'AUK,KUSILVAK,ALAKANUK,ALAKANUK,PUBLIC,PUBLIC,ALASKA DOT&PF NORTHERN REGION,2301 PEGER RD,"FAIRBANKS, AK 99709",907-451-2200,JOHN WILSON,907-625-1025
50027.52,C,SEAPLANE BASE,'Z33,BRISTOL BAY,ALEKNAGIK,ALEKNAGIK,PRIVATE,PUBLIC,MOODY,PO BOX 67,"ALEKNAGIK, AK 99555",,ROLAND OR BEVERLY MOODY,907-842-5988
50027.53,A,AIRPORT,'5A8,BRISTOL BAY,ALEKNAGIK,ALEKNAGIK /NEW,PUBLIC,PUBLIC,ALASKA DOT&PF CENTRAL REGION,PO BOX 196900,"ANCHORAGE, AK 99519",907-269-0760,NORMAN HEYANO,907-842-5511
50027.6,A,AIRPORT,'4AK7,BRISTOL BAY,ALEKNAGIK,ALEKNAGIK MISSION STRIP,PRIVATE,PRIVATE,WOODRIVER HEIGHTS,3665 AIRCRAFT DR,"ANCHORAGE, AK 99502",907-242-4173,RON SMITH,907-242-4173
50027.51,A,AIRPORT,'Z25,BRISTOL BAY,ALEKNAGIK,TRIPOD,PUBLIC,PUBLIC,PUBLIC DOMAIN,,,,,
50029.1,A,AIRPORT,'6A8,YUKON-KOYUKUK,ALLAKAKET,ALLAKAKET,PUBLIC,PUBLIC,ALASKA DOT&PF NORTHERN REGION,2301 PEGER RD,"FAIRBANKS, AK 99709",907-451-5280,TOM WILLIAMS,907-451-5280
50029.61,A,AIRPORT,'AFM,NORTHWEST ARCTIC,AMBLER,AMBLER,PUBLIC,PUBLIC,ALASKA DOT&PF NORTHERN REGION,2301 PEGER RD,"FAIRBANKS, AK 99709",907-451-2200,ALVIN WERNEKE,907-442-3147
50031,A,AIRPORT,'80A,YUKON-KOYUKUK,AMERICAN CREEK,AMERICAN CREEK,PUBLIC,PUBLIC,"DNR-DIV. OF MINING, LAND, WATER",3700 AIRPORT WAY,"FAIRBANKS, AK 99709",907-451-2740,,
50031.5,C,SEAPLANE BASE,'AK81,KODIAK ISLAND,AMOOK BAY,AMOOK BAY,PRIVATE,PRIVATE,MIKE MUNSEY,AMOOK PASS,"KODIAK, AK 99615",,MIKE MUNSEY,907-847-2203
50032,A,AIRPORT,'AKP,YUKON-KOYUKUK,ANAKTUVUK PASS,ANAKTUVUK PASS,PUBLIC,PUBLIC,NORTH SLOPE BOROUGH,PO BOX 69,"BARROW, AK 99723",907-852-2611,TOM D. NICOLOS,907-852-0371
50037.3,A,AIRPORT,'AK00,KENAI PENINSULA,ANCHOR POINT,ANCHOR RIVER AIRPARK,PRIVATE,PRIVATE,ANCHOR RIVER AIRPARK OWNERS ASSOC,PO BOX 913,"ANCHOR POINT, AK 99556",907-235-0789,JIM DRESS,907-235-0789
50037.31,A,AIRPORT,'00AK,SEWARD,ANCHOR POINT,LOWELL FIELD,PRIVATE,PRIVATE,DAN PRESLEY,24436 MISTY LN,"ANCHOR POINT, AK 99556",907-398-6664,DAN PRESLEY,907-567-3986
50033.1,H,HELIPORT,'2OK,ANCHORAGE,ANCHORAGE,ALASKA RGNL HOSPITAL,PUBLIC,PUBLIC,MUNICIPALITY OF ANCHORAGE,800 MERRILL FIELD DR,"ANCHORAGE, AK 99501",907-343-6303,"PAUL BOWERS, A.A.E.",907-343-6305
50033.24,H,HELIPORT,'99AA,ANCHORAGE,ANCHORAGE,ANCHORAGE LOFTS HOTEL HELIPORT,PRIVATE,PRIVATE,H.P. HOLDINGS INC.,239 W 4TH AVE,"ANCHORAGE, AK 99501",907-440-9000,RANDY COMER,907-793-5555
50033.5,A,AIRPORT,'A13,ANCHORAGE,ANCHORAGE,BOLD,PUBLIC,PUBLIC,STATE OF AK DNR,18620 SEWARD HWY,"ANCHORAGE, AK 99516",907-688-0910,"KEITH WILSON, PARK RANGER",907-688-0910
50033,A,AIRPORT,'CSR,ANCHORAGE,ANCHORAGE,CAMPBELL AIRSTRIP,PUBLIC,PRIVATE,US BUREAU OF LAND MANAGEMENT,4700 BLM RD,"ANCHORAGE, AK 99507",907-267-1357,DAVE DOUCET,907-267-1357
50033.2,H,HELIPORT,'AK82,ANCHORAGE,ANCHORAGE,CAMPBELL BLM,PUBLIC,PRIVATE,US BUREAU OF LAND MANAGEMENT,4700 BLM RD,"ANCHORAGE, AK 99507",907-267-1357,DAVE DOUCET,907-267-1357
50035.2,C,SEAPLANE BASE,'3C3,ANCHORAGE,ANCHORAGE,CAMPBELL LAKE SPB,PRIVATE,PUBLIC,CAMPBELL LAKE OWNERS INC,9500 INDEPENDENCE DR,"ANCHORAGE, AK 99507",907-522-5000,DR. JOHN SPARAGA,907-522-5000
50036,A,AIRPORT,'EDF,ANCHORAGE,ANCHORAGE,ELMENDORF AFB,US AIR FORCE,PRIVATE,US AIR FORCE,30SS/DOFJ,"ELMENDORF AFB, AK 99506",907-552-2107,AIRFIELD MGR,907-552-2444
50036.01,H,HELIPORT,'AK91,ANCHORAGE,ANCHORAGE,ELMENDORF HOSPITAL,US AIR FORCE,PRIVATE,US AIR FORCE,3OSS/DOF,"ELMENDORF AFB, AK 99506",907-552-2444,AIRFIELD MANAGER,907-552-2444
50036.02,A,AIRPORT,'6AK5,ANCHORAGE,ANCHORAGE,FIRE ISLAND,PUBLIC,PRIVATE,US FEDERAL AVIATION ASSOCIATION,700 N BONIFACE PKWY,"ANCHORAGE, AK 99506",,DISTRICT OFFICE MANAGER,907-269-1138
50033.4,A,AIRPORT,'AK12,ANCHORAGE,ANCHORAGE,FLYING CROWN,PRIVATE,PRIVATE,FLYING CROWN/OCEANVIEW NORTH,910 HARBOR CIR,"ANCHORAGE, AK 99515",907-245-1932,CHARLES FRYER,907-245-1932
50037,C,SEAPLANE BASE,'LHD,ANCHORAGE,ANCHORAGE,LAKE HOOD,PUBLIC,PUBLIC,STATE OF AK -- DOT&PF,PO BOX 196960,"ANCHORAGE, AK 99519",907-266-2741,TIM COONS,907-266-2741
50035,A,AIRPORT,'MRI,ANCHORAGE,ANCHORAGE,MERRILL FIELD,PUBLIC,PUBLIC,MUNICIPALITY OF ANCHORAGE,800 MERRIL FIELD DR,"ANCHORAGE, AK 99501",907-343-6303,"PAUL BOWERS, A.A.E.",907-343-6303
