SiteNumber,SiteCode,Type,LocationID,Region,City,FacilityName,Ownership,Use,Owner,OwnerAddress,OwnerCityStateZIP,OwnerPhone,Manager,ManagerPhone
50009.0,A,AIRPORT,'ADK,ALEUTIAN ISLANDS,AKHIOK,ADAK,PUBLIC,PUBLIC,ALASKA DOT&PF SOUTHCOAST REGION,PO BOX 196900,"ANCHORAGE, AK 99519",907-269-0751,INNOCENT DUSHKIN,907-592-8026
50016.1,A,AIRPORT,'AKK,KODIAK ISLAND,AKHIOK,AKHIOK,PUBLIC,PUBLIC,ALASKA DOT&PF SOUTHCOAST REGION,PO BOX 196900,"ANCHORAGE, AK 99519",907-269-0760,ROBERT GREENE,907-487-4952
50017.0,C,AIRPORT,'Z13,BETHEL,AKIACHAK,AKIACHAK,PUBLIC,PUBLIC,PUBLIC DOMAIN,PO BOX 196900,,907-269-0770,LAWRENCE DAVIS,907-543-2498
50017.1,C,AIRPORT,'KKI,BETHEL,AKIACHAK,AKIACHAK,PUBLIC,PUBLIC,PUBLIC DOMAIN,,,,,
50020.0,C,AIRPORT,'AKI,BETHEL,AKIAK,AKIAK,PUBLIC,PUBLIC,CITY OF AKUTAN,PO BOX 196900,"ANCHORAGE, AK 99519",907-269-0760,LAWERENCE DAVIS,907-543-2498
50022.0,C,SEAPLANE BASE,'KQA,ALEUTIAN ISLANDS,AKUTAN,AKUTAN,PUBLIC,PUBLIC,CITY OF AKUTAN,PO BOX 112506,"AKUTAN, AK 99553",907-698-2228,JOE BERESKIN,907-698-2241
50022.1,A,AIRPORT,'7AK,KUSILVAK,AKUTAN,AKUTAN,PUBLIC,PUBLIC,ALASKA DOT&PF SOUTHCOAST REGION,PO BOX 112506,"JUNEAU, AK 99811",907-465-1779,DALE RUCKMAN,907-581-1786
50024.1,A,AIRPORT,'AUK,BRISTOL BAY,ALAKANUK,ALAKANUK,PRIVATE,PUBLIC,ALASKA DOT&PF NORTHERN REGION,2301 PEGER RD,"FAIRBANKS, AK 99709",907-451-2200,ROLAND OR BEVERLY MOODY,907-842-5988
50027.52,C,SEAPLANE BASE,'Z33,BRISTOL BAY,ALEKNAGIK,ALEKNAGIK,PRIVATE,PUBLIC,MOODY,PO BOX 67,"ANCHORAGE, AK 99519",,ROLAND OR BEVERLY MOODY,907-842-5511
50027.53,A,AIRPORT,'5A8,BRISTOL BAY,ALEKNAGIK,ALEKNAGIK /NEW,PUBLIC,PRIVATE,ALASKA DOT&PF CENTRAL REGION,PO BOX 196900,"ANCHORAGE, AK 99502",907-269-0760,RON SMITH,907-842-5511
50027.6,A,AIRPORT,'4AK7,BRISTOL BAY,ALEKNAGIK,TRIPOD,PRIVATE,PRIVATE,WOODRIVER HEIGHTS,3665 AIRCRAFT DR,"ANCHORAGE, AK 99502",907-242-4173,RON SMITH,907-242-4173
50027.51,A,AIRPORT,'Z25,BRISTOL BAY,ALEKNAGIK,TRIPOD,PUBLIC,PUBLIC,PUBLIC DOMAIN,,,,,907-451-5280
